branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0,p_value_original,unique_mismatch_extreme_count,n_unique_mismatch
within_layer__clr_false__thickness_absolute,l1,Astro,0.0959979531776211,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l1,Endo,0.1972635526253474,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l1,Lamp5,0.2637901284082237,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l1,Micro-PVM,0.5310684343178046,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l1,OPC,0.2867633039268197,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l1,Pax6,0.1587412237308454,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l1,Sncg,0.3569530212317264,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l1,VLMC,-0.1411417888201071,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l2,Astro,0.3631993248402747,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Chandelier,0.0920597157362916,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Endo,0.1349336403857775,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,L2/3 IT,-0.3481117248929383,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l2,Lamp5,0.5534719225738667,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l2,Lamp5_Lhx6,0.2097764099426155,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Micro-PVM,0.3864181763684627,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,OPC,0.3478505269812844,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Pax6,0.6369452315364534,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Pvalb,-0.0835139901968408,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Sncg,0.6365101608583222,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Sst,0.197359925616457,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Vip,0.4617449183198365,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l3,Astro,0.3606472363926433,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Chandelier,0.2365747462227354,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Endo,0.2578310221482378,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L2/3 IT,0.1292789066315645,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L4 IT,-0.4529707113112298,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l3,L5 ET,-0.0750128409291106,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L5 IT,-0.2043031975397684,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,L5/6 NP,-0.2615635814399775,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L6 CT,-0.3226473461090382,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L6 IT,-0.4782653653893781,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,L6 IT Car3,0.0185055551871379,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L6b,-0.1324802933909493,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,Lamp5,0.4061726847692192,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l3,Lamp5_Lhx6,-0.0165913145130597,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l3,Micro-PVM,0.389052478816806,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,OPC,0.1948909516483221,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Oligo,0.0354905362267239,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l3,Pax6,0.3362290143027,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Pvalb,0.1064894140190129,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Sncg,0.3899327328268597,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Sst,0.3663529959404502,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,Vip,0.574720329510431,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l4,Astro,0.2778743695317524,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Chandelier,0.1723788253526902,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l4,Endo,0.039502848070312,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l4,L2/3 IT,0.5319302911568367,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,L4 IT,0.4470997653248177,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,L5 ET,0.3731617218574355,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,L5 IT,0.2949457901086744,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,L5/6 NP,0.6306363498349936,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Lamp5,0.5043572308187989,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Lamp5_Lhx6,0.6070439497691339,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Micro-PVM,-0.0245699202638714,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,OPC,0.3537811935379972,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Oligo,0.5734405574144518,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Pax6,0.5107147329918623,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Pvalb,0.4386897723432481,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Sncg,0.2364380705801348,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Sst,0.3197298354831252,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Vip,0.3479587507225456,0.16666666666666666,600,0.6217948717948717,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l5,Astro,0.5270612997625029,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l5,Chandelier,0.4915186678751989,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,Endo,0.1960244289246812,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,L4 IT,0.2535003670119298,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,L5 ET,0.4279783212026837,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l5,L5 IT,-0.4298698254571957,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l5,L5/6 NP,-0.3040389259622562,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l5,L6 CT,-0.0750007188575437,0.5,600,0.8290598290598289,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,L6 IT,-0.3548189792105279,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l5,L6 IT Car3,0.1017781197981349,0.8333333333333334,600,0.8599290780141845,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l5,L6b,-0.2156496373480441,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l5,Lamp5,0.1469387470100972,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l5,Lamp5_Lhx6,-0.2488150924405003,0.6666666666666666,600,0.8290598290598289,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l5,Micro-PVM,0.6642011295934673,0.3333333333333333,600,0.7698412698412698,False,0.2013311148086522,1,5
