branch,normalization,use_clr,thickness,n_tested,n_fdr_sig,median_abs_r,mean_abs_r,mean_signed_r,max_abs_r,whole_match_stat,whole_match_p,whole_n_permutations,mismatch_n_fdr_sig,whole_match_p_original,mismatch_n_fdr_sig_original
within_region_cross_layer__clr_false__thickness_relative,within_region_cross_layer,False,relative,97,31,0.4484833846180517,0.4582724280538525,0.4178659559142657,0.8889007040146669,0.4178659559142657,0.005555555555555556,720,0,0.0069348127600554,38
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,absolute,97,21,0.4264536658221668,0.4086322817802771,0.3458456170057754,0.79693944548569,0.3458456170057754,0.005555555555555556,720,0,0.0069348127600554,37
within_layer__clr_true__thickness_absolute,within_layer,True,absolute,97,14,0.3589705801298421,0.357810093287641,-0.0789457357320393,0.8146053051183644,-0.0789457357320393,0.6361111111111111,720,0,0.636615811373093,16
within_layer__clr_true__thickness_relative,within_layer,True,relative,97,13,0.232382215810869,0.2892333909482047,-0.0233921037947209,0.8138236419168188,-0.0233921037947209,0.7263888888888889,720,0,0.7267683772538142,13
within_region_cross_layer__clr_true__thickness_relative,within_region_cross_layer,True,relative,97,11,0.2850988799236226,0.2972735717260484,-0.0245415390795381,0.8316568529939241,-0.0245415390795381,0.9583333333333334,720,0,0.9583911234396671,13
within_layer__clr_false__thickness_absolute,within_layer,False,absolute,97,4,0.3481117248929383,0.3504998365228722,0.2058437198793982,0.794289996485027,0.2058437198793982,0.06111111111111111,720,0,0.0624133148404993,26
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,absolute,97,2,0.2595757394486268,0.2783647181256682,-0.0199451255274082,0.7913491121391665,-0.0199451255274082,0.9708333333333333,720,0,0.970873786407767,12
within_layer__clr_false__thickness_relative,within_layer,False,relative,97,0,0.217104108127552,0.2703787099511164,0.1431431077916345,0.7737150703869827,0.1431431077916345,0.07083333333333333,720,0,0.0721220527045769,21
