branch,observed_stat,n_exact,extreme_count,p_old_plus1,p_correct_exact
within_region_cross_layer__clr_false__thickness_relative,0.4178659559142657,720,4,0.0069348127600554,0.005555555555555556
within_region_cross_layer__clr_false__thickness_absolute,0.3458456170057754,720,4,0.0069348127600554,0.005555555555555556
within_layer__clr_true__thickness_absolute,-0.0789457357320393,720,458,0.636615811373093,0.6361111111111111
within_layer__clr_true__thickness_relative,-0.0233921037947209,720,523,0.7267683772538142,0.7263888888888889
within_region_cross_layer__clr_true__thickness_relative,-0.0245415390795381,720,690,0.9583911234396671,0.9583333333333334
within_layer__clr_false__thickness_absolute,0.2058437198793982,720,44,0.0624133148404993,0.06111111111111111
within_region_cross_layer__clr_true__thickness_absolute,-0.0199451255274082,720,699,0.970873786407767,0.9708333333333333
within_layer__clr_false__thickness_relative,0.1431431077916345,720,51,0.0721220527045769,0.07083333333333333
