level,outcome,n,n_features,r2,adjusted_r2,spin_p,n_spins,null_mean,null_sd,spin_q_bh_13_disorders
subclass,22q,105,23,0.5687676262273418,0.44631892750177216,0.47952047952047955,1000,0.4376700855119035,0.1033994327540585,0.47952047952047955
subclass,adhd,105,23,0.8796118261498487,0.8454275298714107,0.001998001998001998,1000,0.6352244550959757,0.09612828804019942,0.005194805194805195
subclass,asd,105,23,0.9260871403582748,0.9050995382377849,0.000999000999000999,1000,0.7301000130716526,0.08226229738073061,0.005194805194805195
subclass,epilepsy_gge,105,23,0.6662850299109033,0.5715264581572093,0.17782217782217782,1000,0.46411678252602184,0.11197200995712994,0.2101534828807556
subclass,epilepsy_rtle,105,23,0.8914637690944235,0.8606448393311117,0.001998001998001998,1000,0.7147317458215775,0.07212716239242105,0.005194805194805195
subclass,epilepsy_ltle,105,23,0.7784980503470188,0.7156024350134562,0.025974025974025976,1000,0.5460986561342209,0.10001459643769625,0.04220779220779221
subclass,depression,105,23,0.7776992295773191,0.714576788593101,0.003996003996003996,1000,0.5091994481730482,0.08800325596630598,0.008658008658008658
subclass,ocd,105,23,0.7501183716050805,0.6791643289744245,0.001998001998001998,1000,0.39853612419175855,0.10961349873229101,0.005194805194805195
subclass,schizophrenia,105,23,0.7590378715829433,0.6906165264768656,0.04395604395604396,1000,0.5579089020887578,0.08473155423345373,0.0634920634920635
subclass,bipolar,105,23,0.6432171197021365,0.5419084006052123,0.2007992007992008,1000,0.4594567667420294,0.09295812491336962,0.21753246753246752
subclass,obesity,105,23,0.8381493515003604,0.79219175995108,0.001998001998001998,1000,0.5130970642260952,0.12094513638476669,0.005194805194805195
subclass,schizotypy,105,23,0.6834516966616057,0.5935676105284814,0.09490509490509491,1000,0.4599121048274137,0.10711349783035112,0.12337662337662338
subclass,parkinson,105,23,0.8281359514365751,0.7793350487580718,0.007992007992007992,1000,0.6166767650618669,0.07763688663124162,0.014842300556586271
cluster,22q,105,71,0.9729829880522646,0.914855477498046,0.002997002997002997,1000,0.6021059161932933,0.16158514696391169,0.012987012987012986
cluster,adhd,105,71,0.9663355159030503,0.8939058683005223,0.04095904095904096,1000,0.7813659521567984,0.08218455492433517,0.06060606060606061
cluster,asd,105,71,0.9872786931869607,0.9599086088316338,0.001998001998001998,1000,0.8465299476835272,0.055941587334153636,0.012987012987012986
cluster,epilepsy_gge,105,71,0.8835863307397316,0.6331205574827905,0.4965034965034965,1000,0.6125605990926172,0.16535757587252012,0.4965034965034965
cluster,epilepsy_rtle,105,71,0.9731254070339775,0.9153043130767777,0.026973026973026972,1000,0.8229774761160877,0.058779854385074146,0.05844155844155843
cluster,epilepsy_ltle,105,71,0.9748598952431301,0.9207705789480464,0.001998001998001998,1000,0.6999611495568147,0.10136650325197835,0.012987012987012986
cluster,depression,105,71,0.9387358007470931,0.8069249478090206,0.056943056943056944,1000,0.6630873911348213,0.10232058812092257,0.06729634002361275
cluster,ocd,105,71,0.9437542809027488,0.8227407640571478,0.012987012987012988,1000,0.6108022871795015,0.11120752799088353,0.03896103896103896
cluster,schizophrenia,105,71,0.9514347549200228,0.8469458942934053,0.04195804195804196,1000,0.7243612775196856,0.08204089563092648,0.06060606060606061
cluster,bipolar,105,71,0.9417951522018413,0.8165665402724696,0.052947052947052944,1000,0.6564973708266048,0.11295515434286664,0.06729634002361275
cluster,obesity,105,71,0.9602592357252395,0.8747563792553004,0.014985014985014986,1000,0.6918107442872221,0.12121999828954338,0.03896103896103896
cluster,schizotypy,105,71,0.9163737486838007,0.7364506019125842,0.16383616383616384,1000,0.6280843582553992,0.1169458910886759,0.17748917748917747
cluster,parkinson,105,71,0.9594699506385287,0.8722689353456662,0.03396603396603397,1000,0.7641081900451843,0.07093383688859296,0.06060606060606061
