feature,model_r_sq,model_pval,model_pval_adj
delta,0.9290128612856778,0.053946053946053944,0.15984015984015984
theta,0.9422495807263016,0.04995004995004995,0.15984015984015984
alpha,0.9472778693789939,0.1258741258741259,0.15984015984015984
beta,0.9519009035825615,0.03196803196803197,0.15984015984015984
gamma1,0.9372514777346314,0.005994005994005994,0.03596403596403597
gamma2,0.9111704007492245,0.03796203796203796,0.15984015984015984
