feature,model_r_sq,model_pval,model_pval_adj
delta,0.9475043752878216,0.004995004995004995,0.01998001998001998
theta,0.9706484409354937,0.001998001998001998,0.011988011988011988
alpha,0.95927545384467,0.03696303696303696,0.1078921078921079
beta,0.9642535458367477,0.002997002997002997,0.014985014985014984
gamma1,0.9134657148969136,0.03596403596403597,0.1078921078921079
gamma2,0.8800554404941913,0.12387612387612387,0.12387612387612387
