phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap,branch,branch_label
enigma,adhd,Astro,0.0026625325228583,0.0299379737057149,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Chandelier,0.0105185216775111,0.1182720671769531,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Endo,0.0038898401085437,0.0437380313251536,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L2/3 IT,0.0026650513232401,0.0299662955305018,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L4 IT,0.0027356670802199,0.0307603112495666,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L5 ET,0.00183512571918,0.0206344692715763,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L5 IT,0.0022916962419832,0.0257682267709263,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L5/6 NP,0.0070656037166231,0.0794468636410049,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L6 CT,0.0064239784714627,0.0722323190096727,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L6 IT,0.0041457962833776,0.0466160465855147,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L6 IT Car3,0.0027213036722601,0.0305988066196197,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,L6b,0.0028939255230421,0.0325397964048616,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Lamp5,0.0023724443314269,0.026676172179217,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Lamp5_Lhx6,0.005859257496033,0.0658824992165494,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Micro-PVM,0.0032422378854659,0.036456280525936,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,OPC,0.0100018109111684,0.1124620824336982,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Oligo,0.0062186640312494,0.0699237281249646,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Pax6,0.0025022955864998,0.0281362420287492,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Pvalb,0.0015378212084136,0.0172915262090973,0.0889349609639767,ratio_none_subclass,Ratio · subclass
enigma,adhd,Sncg,0.0025226900110101,0.0283655604462677,0.0889349609639767,ratio_none_subclass,Ratio · subclass
