phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap,branch,branch_label
meg,alpha,VLMC,0.0040520289249028,0.0257494965673656,0.1573634231761374,ratio_clr_subclass,Ratio–CLR · subclass
meg,alpha,Vip,0.0229647179758144,0.1459342807388599,0.1573634231761374,ratio_clr_subclass,Ratio–CLR · subclass
meg,alpha,Astro,0.0064657234790074,0.0451028064715237,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Chandelier,0.0048861804314232,0.0340844224314492,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Endo,0.0034855167734692,0.0243138434542464,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L2/3 IT,0.0059589731779454,0.0415678794316663,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L4 IT,0.0066387707887329,0.0463099288216067,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L5 ET,0.0036633067250919,0.0255540489481339,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L5 IT,0.0062262937334264,0.0434326216092219,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L5/6 NP,0.0048018773929246,0.0334963515616215,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L6 CT,0.0110908592374169,0.0773662652620769,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L6 IT,0.0067638497121813,0.0471824391441219,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L6 IT Car3,0.0055754153647064,0.0388923035464112,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,L6b,0.0028408155693057,0.0198166153037149,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Lamp5,0.0025702579541225,0.0179292924392864,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Lamp5_Lhx6,0.0028090918625734,0.0195953209334948,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Micro-PVM,0.0056078527944746,0.0391185766188709,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,OPC,0.0092520170143105,0.064539093609947,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Oligo,0.011805851467014,0.082353820988031,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Pax6,0.0049866034008371,0.0347849407523267,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Pvalb,0.0076807473518327,0.0535784220421937,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Sncg,0.0052813104638169,0.0368407223938588,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Sst,0.0048864598662066,0.0340863716785823,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Sst Chodl,0.0031502038143552,0.0219748081473059,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,VLMC,0.0029668852947171,0.0206960371419072,0.1433552362886699,density_none_subclass,Density · subclass
meg,alpha,Vip,0.0139603726187768,0.0973830672683996,0.1433552362886699,density_none_subclass,Density · subclass
