branch,n_features,mapping_fraction,unmapped_mass_fraction,d99_dropped_labels,n_pairwise_fdr,n_outcomes_pairwise_fdr,n_total_fdr,mean_oof_r2,median_oof_r2,n_positive_oof_r2,best_oof_outcome,best_oof_r2,shap_sum_max_error,dominance_ok_outcomes,dominance_sum_max_error
ratio_none_subclass,23,0.8451327433628318,0.1129384018191963,"106,118,194",17,5,7,-0.2177709913565012,-0.2227188031717089,7,adhd,0.5524127797710703,1.3322676295501878e-15,19,1.4432899320127037e-15
ratio_clr_subclass,23,0.8451327433628318,0.1129384018191963,"106,118,194",14,3,7,-0.1849989425136172,-0.0847796160997766,7,adhd,0.513476548909167,1.4432899320127037e-15,19,1.3322676295501878e-15
density_none_subclass,24,0.8249027237354085,0.1118029177533169,"106,118,194",31,9,9,-0.0958727747518954,-0.0575532214469043,7,parkinson,0.6032192356943278,1.4432899320127037e-15,19,1.5543122344752194e-15
ratio_none_cluster,71,0.8451327433628318,0.1129384018191963,"106,118,194",30,3,13,0.0424354027114544,0.0604522720304705,11,alpha,0.6387294773433263,3.885780586188048e-15,19,2.664535259100376e-15
ratio_clr_cluster,71,0.8451327433628318,0.1129384018191963,"106,118,194",27,2,14,0.0234340210071765,-0.0487193919610695,9,alpha,0.5771603968103731,3.774758283725532e-15,19,2.55351295663786e-15
density_none_cluster,72,0.8249027237354085,0.1118029177533169,"106,118,194",50,3,12,0.0286236958825207,0.1037191606550439,12,parkinson,0.7166444978150276,3.885780586188048e-15,19,2.55351295663786e-15
