branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_false__thickness_absolute,l4,Pax6,0.07608327566701385,0.8101898101898102,False,0.8930501316864953
within_layer__clr_false__thickness_absolute,l4,Pvalb,-0.11382998248473422,0.6363636363636364,False,0.7715909090909091
within_layer__clr_false__thickness_absolute,l4,Sncg,-0.4951693447745643,0.03996003996003996,False,0.18919176062033205
within_layer__clr_false__thickness_absolute,l4,Sst,-0.519443690854201,0.016983016983016984,False,0.1267194344117421
within_layer__clr_false__thickness_absolute,l4,Vip,-0.3850336036817052,0.022977022977022976,False,0.13110418992771936
within_layer__clr_false__thickness_absolute,l5,Astro,0.5270612997625456,0.022977022977022976,False,0.13110418992771936
within_layer__clr_false__thickness_absolute,l5,Chandelier,0.4915186678751911,0.22077922077922077,False,0.4556507322464769
within_layer__clr_false__thickness_absolute,l5,Endo,0.19602442892468624,0.3826173826173826,False,0.6306913425557494
within_layer__clr_false__thickness_absolute,l5,L4 IT,0.25350036701203454,0.5494505494505495,False,0.7506577929113142
within_layer__clr_false__thickness_absolute,l5,L5 ET,0.4279783212026892,0.3256743256743257,False,0.5743710834619926
within_layer__clr_false__thickness_absolute,l5,L5 IT,-0.42986982545708563,0.1918081918081918,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l5,L5/6 NP,-0.3040389259621555,0.47152847152847155,False,0.7003451094360186
within_layer__clr_false__thickness_absolute,l5,L6 CT,-0.0750007188573897,0.8621378621378621,False,0.9089931807323112
within_layer__clr_false__thickness_absolute,l5,L6 IT,-0.3548189792104098,0.0899100899100899,False,0.28768106893106893
within_layer__clr_false__thickness_absolute,l5,L6 IT Car3,0.10177811979818693,0.8021978021978022,False,0.8930501316864953
within_layer__clr_false__thickness_absolute,l5,L6b,-0.21564963734794607,0.30569430569430567,False,0.5491175491175491
within_layer__clr_false__thickness_absolute,l5,Lamp5,0.14693874701018608,0.7622377622377622,False,0.8597332899658481
within_layer__clr_false__thickness_absolute,l5,Lamp5_Lhx6,-0.24881509244034092,0.5784215784215784,False,0.7582012582012582
within_layer__clr_false__thickness_absolute,l5,Micro-PVM,0.6642011295934539,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l5,OPC,0.5634367765067669,0.060939060939060936,False,0.2189292189292189
within_layer__clr_false__thickness_absolute,l5,Oligo,0.11619567542154202,0.7622377622377622,False,0.8597332899658481
within_layer__clr_false__thickness_absolute,l5,Pvalb,0.5955485418335174,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l5,Sst,0.2836699328777342,0.2827172827172827,False,0.5377171847760083
within_layer__clr_false__thickness_absolute,l5,Vip,0.5133732061993719,0.11388611388611389,False,0.31562722991294423
within_layer__clr_false__thickness_absolute,l6,Astro,0.6941452492911968,0.011988011988011988,False,0.10497835497835498
within_layer__clr_false__thickness_absolute,l6,Chandelier,0.6538695040628534,0.04495504495504495,False,0.1895930156799722
within_layer__clr_false__thickness_absolute,l6,Endo,0.44897262305085633,0.08091908091908091,False,0.27066037410864996
within_layer__clr_false__thickness_absolute,l6,L5 ET,-0.4306001732250248,0.12387612387612387,False,0.3162101056837899
within_layer__clr_false__thickness_absolute,l6,L5 IT,-0.7942899964849963,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l6,L5/6 NP,-0.4679607178236511,0.11988011988011989,False,0.3162101056837899
within_layer__clr_false__thickness_absolute,l6,L6 CT,-0.6331523735205236,0.003996003996003996,False,0.05537319823034109
within_layer__clr_false__thickness_absolute,l6,L6 IT,-0.2884861761832201,0.5954045954045954,False,0.7688495714811505
within_layer__clr_false__thickness_absolute,l6,L6 IT Car3,0.0011801223603891493,0.999000999000999,False,0.999000999000999
