branch,layer,ctype,correlation_unclosed,p_value_unclosed,reject_H0_unclosed,p_adjusted_unclosed,correlation_reclosed,p_value_reclosed,reject_H0_reclosed,p_adjusted_reclosed
within_layer__clr_false__thickness_absolute,l1,Astro,0.0959979531776211,0.6773226773226774,False,0.8071318924977462,0.09599795317775836,0.6773226773226774,False,0.8111148111148111
within_layer__clr_false__thickness_absolute,l1,Endo,0.1972635526253474,0.5694305694305695,False,0.7464157464157465,0.19726355262535814,0.5694305694305695,False,0.7566406196543184
within_layer__clr_false__thickness_absolute,l1,Lamp5,0.2637901284082237,0.6283716283716284,False,0.7619005994005995,0.2637901284082625,0.6283716283716284,False,0.7715449107854172
within_layer__clr_false__thickness_absolute,l1,Micro-PVM,0.5310684343178046,0.1958041958041958,False,0.4123536038429655,0.531068434317811,0.1958041958041958,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l1,OPC,0.2867633039268197,0.4695304695304695,False,0.6726214961509079,0.2867633039268756,0.4695304695304695,False,0.7003451094360186
within_layer__clr_false__thickness_absolute,l1,Pax6,0.1587412237308454,0.3426573426573426,False,0.5715640291911479,0.15874122373088437,0.34265734265734266,False,0.5935314685314685
within_layer__clr_false__thickness_absolute,l1,Sncg,0.3569530212317264,0.4695304695304695,False,0.6726214961509079,0.3569530212317321,0.4695304695304695,False,0.7003451094360186
within_layer__clr_false__thickness_absolute,l1,VLMC,-0.1411417888201071,0.6213786213786214,False,0.7619005994005995,-0.14114178882004222,0.6213786213786214,False,0.7715449107854172
within_layer__clr_false__thickness_absolute,l2,Astro,0.3631993248402747,0.2907092907092907,False,0.5375379337643489,0.3631993248402571,0.2907092907092907,False,0.5422846384384846
within_layer__clr_false__thickness_absolute,l2,Chandelier,0.0920597157362916,0.8221778221778222,False,0.904791837376107,0.09205971573627308,0.8221778221778222,False,0.8947385947385946
within_layer__clr_false__thickness_absolute,l2,Endo,0.1349336403857775,0.6023976023976024,False,0.7588645121112655,0.13493364038577124,0.6023976023976024,False,0.7688495714811505
within_layer__clr_false__thickness_absolute,l2,L2/3 IT,-0.3481117248929383,0.1998001998001998,False,0.4123536038429655,-0.3481117248930517,0.1998001998001998,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l2,Lamp5,0.5534719225738667,0.0219780219780219,False,0.1392982017982018,0.5534719225738938,0.02197802197802198,False,0.13110418992771936
within_layer__clr_false__thickness_absolute,l2,Lamp5_Lhx6,0.2097764099426155,0.5634365634365635,False,0.7464157464157465,0.20977640994257984,0.5634365634365635,False,0.7566406196543184
within_layer__clr_false__thickness_absolute,l2,Micro-PVM,0.3864181763684627,0.2317682317682317,False,0.4588064996228261,0.38641817636845055,0.23176823176823177,False,0.45880649962282616
within_layer__clr_false__thickness_absolute,l2,OPC,0.3478505269812844,0.2657342657342657,False,0.5155244755244756,0.34785052698124486,0.26573426573426573,False,0.5155244755244756
within_layer__clr_false__thickness_absolute,l2,Pax6,0.6369452315364534,0.0029970029970029,False,0.0581418581418581,0.636945231536431,0.002997002997002997,False,0.05537319823034109
within_layer__clr_false__thickness_absolute,l2,Pvalb,-0.0835139901968408,0.8501498501498501,False,0.9162726162726162,-0.08351399019689701,0.8501498501498501,False,0.9062036864234666
within_layer__clr_false__thickness_absolute,l2,Sncg,0.6365101608583222,0.0059940059940059,False,0.0830597973455116,0.6365101608582828,0.005994005994005994,False,0.07267732267732267
within_layer__clr_false__thickness_absolute,l2,Sst,0.197359925616457,0.3736263736263736,False,0.5906474477903049,0.19735992561632573,0.37362637362637363,False,0.6306913425557494
within_layer__clr_false__thickness_absolute,l2,Vip,0.4617449183198365,0.0939060939060939,False,0.3036297036297036,0.4617449183197803,0.0939060939060939,False,0.28768106893106893
within_layer__clr_false__thickness_absolute,l3,Astro,0.3606472363926433,0.1508491508491508,False,0.3850623061149377,0.3606472363925425,0.15084915084915085,False,0.3751889136504521
within_layer__clr_false__thickness_absolute,l3,Chandelier,0.2365747462227354,0.4155844155844156,False,0.6298701298701299,0.23657474622268712,0.4155844155844156,False,0.6718614718614718
within_layer__clr_false__thickness_absolute,l3,Endo,0.2578310221482378,0.1888111888111888,False,0.4123536038429655,0.2578310221482147,0.1888111888111888,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l3,L2/3 IT,0.1292789066315645,0.7322677322677322,False,0.8455948813091669,0.12927890663121278,0.7322677322677322,False,0.855782771445422
within_layer__clr_false__thickness_absolute,l3,L4 IT,-0.4529707113112298,0.0449550449550449,False,0.2295073347704926,-0.4529707113114614,0.04495504495504495,False,0.1895930156799722
within_layer__clr_false__thickness_absolute,l3,L5 ET,-0.0750128409291106,0.8301698301698301,False,0.904791837376107,-0.07501284092921255,0.8301698301698301,False,0.8947385947385946
within_layer__clr_false__thickness_absolute,l3,L5 IT,-0.2043031975397684,0.5314685314685315,False,0.7260908105978529,-0.20430319753991194,0.5314685314685315,False,0.7364635364635365
within_layer__clr_false__thickness_absolute,l3,L5/6 NP,-0.2615635814399775,0.3836163836163836,False,0.5906474477903049,-0.2615635814400741,0.3836163836163836,False,0.6306913425557494
within_layer__clr_false__thickness_absolute,l3,L6 CT,-0.3226473461090382,0.1608391608391608,False,0.4000358615743231,-0.32264734610917567,0.16083916083916083,False,0.39003496503496504
within_layer__clr_false__thickness_absolute,l3,L6 IT,-0.4782653653893781,0.0299700299700299,False,0.1710054651231122,-0.478265365389483,0.029970029970029972,False,0.15300488984699512
within_layer__clr_false__thickness_absolute,l3,L6 IT Car3,0.0185055551871379,0.9310689310689312,False,0.9589368964368964,0.01850555518694234,0.9310689310689311,False,0.9607838969541097
within_layer__clr_false__thickness_absolute,l3,L6b,-0.1324802933909493,0.6283716283716284,False,0.7619005994005995,-0.13248029339109077,0.6283716283716284,False,0.7715449107854172
within_layer__clr_false__thickness_absolute,l3,Lamp5,0.4061726847692192,0.0529470529470529,False,0.2445649588506731,0.40617268476905755,0.052947052947052944,False,0.20543456543456545
within_layer__clr_false__thickness_absolute,l3,Lamp5_Lhx6,-0.0165913145130597,0.949050949050949,False,0.9589368964368964,-0.016591314513261183,0.949050949050949,False,0.9649933399933399
within_layer__clr_false__thickness_absolute,l3,Micro-PVM,0.389052478816806,0.1098901098901098,False,0.3247563247563247,0.3890524788167769,0.10989010989010989,False,0.31351001939237233
within_layer__clr_false__thickness_absolute,l3,OPC,0.1948909516483221,0.5014985014985015,False,0.7050051397877485,0.1948909516482305,0.5014985014985015,False,0.7260500693336515
within_layer__clr_false__thickness_absolute,l3,Oligo,0.0354905362267239,0.902097902097902,False,0.9408978118655538,0.03549053622664951,0.9020979020979021,False,0.9408978118655538
within_layer__clr_false__thickness_absolute,l3,Pax6,0.3362290143027,0.1878121878121878,False,0.4123536038429655,0.3362290143026407,0.1878121878121878,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l3,Pvalb,0.1064894140190129,0.7142857142857143,False,0.8347676419965577,0.10648941401880062,0.7142857142857143,False,0.8449477351916377
within_layer__clr_false__thickness_absolute,l3,Sncg,0.3899327328268597,0.0609390609390609,False,0.2570038656995179,0.3899327328267941,0.060939060939060936,False,0.2189292189292189
within_layer__clr_false__thickness_absolute,l3,Sst,0.3663529959404502,0.1218781218781218,False,0.3247563247563247,0.36635299594024595,0.12187812187812187,False,0.3162101056837899
within_layer__clr_false__thickness_absolute,l3,Vip,0.574720329510431,0.0089910089910089,False,0.1076701076701076,0.5747203295104009,0.008991008991008992,False,0.09690309690309691
within_layer__clr_false__thickness_absolute,l4,Astro,0.2778743695317524,0.3476523476523476,False,0.5715640291911479,-0.4764733902471728,0.09490509490509491,False,0.28768106893106893
within_layer__clr_false__thickness_absolute,l4,Chandelier,0.1723788253526902,0.6823176823176823,False,0.8071318924977462,-0.22269185348149104,0.4645354645354645,False,0.7003451094360186
within_layer__clr_false__thickness_absolute,l4,Endo,0.039502848070312,0.8941058941058941,False,0.9408978118655538,-0.06485826228224657,0.7542457542457542,False,0.8597332899658481
within_layer__clr_false__thickness_absolute,l4,L2/3 IT,0.5319302911568367,0.0709290709290709,False,0.2683470375778068,0.23348760153887888,0.22877122877122877,False,0.45880649962282616
within_layer__clr_false__thickness_absolute,l4,L4 IT,0.4470997653248177,0.1988011988011988,False,0.4123536038429655,0.2906507645758214,0.47652347652347654,False,0.7003451094360186
within_layer__clr_false__thickness_absolute,l4,L5 ET,0.3731617218574355,0.1118881118881118,False,0.3247563247563247,-0.26265179614850737,0.5184815184815185,False,0.7364635364635365
within_layer__clr_false__thickness_absolute,l4,L5 IT,0.2949457901086744,0.3246753246753247,False,0.5641144569715999,-0.572340522048613,0.003996003996003996,False,0.05537319823034109
within_layer__clr_false__thickness_absolute,l4,L5/6 NP,0.6306363498349936,0.0149850149850149,False,0.1211288711288711,0.5337582165754241,0.025974025974025976,False,0.13997113997113997
within_layer__clr_false__thickness_absolute,l4,Lamp5,0.5043572308187989,0.0779220779220779,False,0.2799422799422799,-0.027271424680023835,0.955044955044955,False,0.9649933399933399
within_layer__clr_false__thickness_absolute,l4,Lamp5_Lhx6,0.6070439497691339,0.0219780219780219,False,0.1392982017982018,0.45709099442052337,0.04095904095904096,False,0.18919176062033205
within_layer__clr_false__thickness_absolute,l4,Micro-PVM,-0.0245699202638714,0.9430569430569432,False,0.9589368964368964,-0.433386892949891,0.05094905094905095,False,0.20543456543456545
within_layer__clr_false__thickness_absolute,l4,OPC,0.3537811935379972,0.1948051948051948,False,0.4123536038429655,-0.35238048669727023,0.3036963036963037,False,0.5491175491175491
within_layer__clr_false__thickness_absolute,l4,Oligo,0.5734405574144518,0.0489510489510489,False,0.2374125874125874,0.3606754359292924,0.1998001998001998,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l4,Pax6,0.5107147329918623,0.0719280719280719,False,0.2683470375778068,0.07608327566701385,0.8101898101898102,False,0.8930501316864953
within_layer__clr_false__thickness_absolute,l4,Pvalb,0.4386897723432481,0.1788211788211788,False,0.4123536038429655,-0.11382998248473422,0.6363636363636364,False,0.7715909090909091
within_layer__clr_false__thickness_absolute,l4,Sncg,0.2364380705801348,0.3736263736263736,False,0.5906474477903049,-0.4951693447745643,0.03996003996003996,False,0.18919176062033205
within_layer__clr_false__thickness_absolute,l4,Sst,0.3197298354831252,0.3366633366633366,False,0.5715640291911479,-0.519443690854201,0.016983016983016984,False,0.1267194344117421
within_layer__clr_false__thickness_absolute,l4,Vip,0.3479587507225456,0.2937062937062937,False,0.5375379337643489,-0.3850336036817052,0.022977022977022976,False,0.13110418992771936
within_layer__clr_false__thickness_absolute,l5,Astro,0.5270612997625029,0.0229770229770229,False,0.1392982017982018,0.5270612997625456,0.022977022977022976,False,0.13110418992771936
within_layer__clr_false__thickness_absolute,l5,Chandelier,0.4915186678751989,0.2207792207792207,False,0.4461580086580086,0.4915186678751911,0.22077922077922077,False,0.4556507322464769
within_layer__clr_false__thickness_absolute,l5,Endo,0.1960244289246812,0.3826173826173826,False,0.5906474477903049,0.19602442892468624,0.3826173826173826,False,0.6306913425557494
within_layer__clr_false__thickness_absolute,l5,L4 IT,0.2535003670119298,0.5494505494505495,False,0.7402319902319903,0.25350036701203454,0.5494505494505495,False,0.7506577929113142
within_layer__clr_false__thickness_absolute,l5,L5 ET,0.4279783212026837,0.3256743256743257,False,0.5641144569715999,0.4279783212026892,0.3256743256743257,False,0.5743710834619926
within_layer__clr_false__thickness_absolute,l5,L5 IT,-0.4298698254571957,0.1918081918081918,False,0.4123536038429655,-0.42986982545708563,0.1918081918081918,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l5,L5/6 NP,-0.3040389259622562,0.4715284715284715,False,0.6726214961509079,-0.3040389259621555,0.47152847152847155,False,0.7003451094360186
within_layer__clr_false__thickness_absolute,l5,L6 CT,-0.0750007188575437,0.8621378621378621,False,0.9189821167843146,-0.0750007188573897,0.8621378621378621,False,0.9089931807323112
within_layer__clr_false__thickness_absolute,l5,L6 IT,-0.3548189792105279,0.0899100899100899,False,0.3007337490096111,-0.3548189792104098,0.0899100899100899,False,0.28768106893106893
within_layer__clr_false__thickness_absolute,l5,L6 IT Car3,0.1017781197981349,0.8021978021978022,False,0.894404446128584,0.10177811979818693,0.8021978021978022,False,0.8930501316864953
within_layer__clr_false__thickness_absolute,l5,L6b,-0.2156496373480441,0.3056943056943056,False,0.5491175491175491,-0.21564963734794607,0.30569430569430567,False,0.5491175491175491
within_layer__clr_false__thickness_absolute,l5,Lamp5,0.1469387470100972,0.7622377622377622,False,0.8597332899658481,0.14693874701018608,0.7622377622377622,False,0.8597332899658481
within_layer__clr_false__thickness_absolute,l5,Lamp5_Lhx6,-0.2488150924405003,0.5784215784215784,False,0.748091908091908,-0.24881509244034092,0.5784215784215784,False,0.7582012582012582
within_layer__clr_false__thickness_absolute,l5,Micro-PVM,0.6642011295934673,0.0009990009990009,True,0.0242257742257742,0.6642011295934539,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l5,OPC,0.5634367765067635,0.0609390609390609,False,0.2570038656995179,0.5634367765067669,0.060939060939060936,False,0.2189292189292189
within_layer__clr_false__thickness_absolute,l5,Oligo,0.1161956754214773,0.7622377622377622,False,0.8597332899658481,0.11619567542154202,0.7622377622377622,False,0.8597332899658481
within_layer__clr_false__thickness_absolute,l5,Pvalb,0.5955485418334692,0.0009990009990009,True,0.0242257742257742,0.5955485418335174,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l5,Sst,0.2836699328775569,0.2827172827172827,False,0.5375379337643489,0.2836699328777342,0.2827172827172827,False,0.5377171847760083
within_layer__clr_false__thickness_absolute,l5,Vip,0.5133732061993257,0.1138861138861138,False,0.3247563247563247,0.5133732061993719,0.11388611388611389,False,0.31562722991294423
within_layer__clr_false__thickness_absolute,l6,Astro,0.694145249291151,0.0119880119880119,False,0.114521841794569,0.6941452492911968,0.011988011988011988,False,0.10497835497835498
within_layer__clr_false__thickness_absolute,l6,Chandelier,0.6538695040628564,0.0449550449550449,False,0.2295073347704926,0.6538695040628534,0.04495504495504495,False,0.1895930156799722
within_layer__clr_false__thickness_absolute,l6,Endo,0.4489726230508535,0.0809190809190809,False,0.2803268160411017,0.44897262305085633,0.08091908091908091,False,0.27066037410864996
within_layer__clr_false__thickness_absolute,l6,L5 ET,-0.4306001732250878,0.1238761238761238,False,0.3247563247563247,-0.4306001732250248,0.12387612387612387,False,0.3162101056837899
within_layer__clr_false__thickness_absolute,l6,L5 IT,-0.794289996485027,0.0009990009990009,True,0.0242257742257742,-0.7942899964849963,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l6,L5/6 NP,-0.4679607178237221,0.1198801198801198,False,0.3247563247563247,-0.4679607178236511,0.11988011988011989,False,0.3162101056837899
within_layer__clr_false__thickness_absolute,l6,L6 CT,-0.6331523735205611,0.0039960039960039,False,0.0646020646020646,-0.6331523735205236,0.003996003996003996,False,0.05537319823034109
within_layer__clr_false__thickness_absolute,l6,L6 IT,-0.2884861761833012,0.5954045954045954,False,0.7588645121112655,-0.2884861761832201,0.5954045954045954,False,0.7688495714811505
within_layer__clr_false__thickness_absolute,l6,L6 IT Car3,0.001180122360324,0.999000999000999,False,0.999000999000999,0.0011801223603891493,0.999000999000999,False,0.999000999000999
within_layer__clr_false__thickness_absolute,l6,L6b,-0.2319669658984466,0.4335664335664335,False,0.6470145239376008,-0.23196696589834842,0.43356643356643354,False,0.6894417058351484
