branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0
within_layer__clr_false__thickness_absolute,l4,Pax6,0.07608327566701385,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l4,Pvalb,-0.11382998248473422,1.0,600,1.0,False
within_layer__clr_false__thickness_absolute,l4,Sncg,-0.4951693447745643,1.0,600,1.0,False
within_layer__clr_false__thickness_absolute,l4,Sst,-0.519443690854201,1.0,600,1.0,False
within_layer__clr_false__thickness_absolute,l4,Vip,-0.3850336036817052,1.0,600,1.0,False
within_layer__clr_false__thickness_absolute,l5,Astro,0.5270612997625456,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l5,Chandelier,0.4915186678751911,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l5,Endo,0.19602442892468624,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l5,L4 IT,0.25350036701203454,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l5,L5 ET,0.4279783212026892,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l5,L5 IT,-0.42986982545708563,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l5,L5/6 NP,-0.3040389259621555,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l5,L6 CT,-0.0750007188573897,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l5,L6 IT,-0.3548189792104098,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l5,L6 IT Car3,0.10177811979818693,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l5,L6b,-0.21564963734794607,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l5,Lamp5,0.14693874701018608,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l5,Lamp5_Lhx6,-0.24881509244034092,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l5,Micro-PVM,0.6642011295934539,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l5,OPC,0.5634367765067669,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l5,Oligo,0.11619567542154202,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l5,Pvalb,0.5955485418335174,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l5,Sst,0.2836699328777342,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l5,Vip,0.5133732061993719,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l6,Astro,0.6941452492911968,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,Chandelier,0.6538695040628534,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,Endo,0.44897262305085633,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,L5 ET,-0.4306001732250248,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l6,L5 IT,-0.7942899964849963,1.0,600,1.0,False
