branch,n_roi,n_features,n_outcomes,mapping_fraction,mean_oof_r2,min_total_q
ratio_none_subclass,105,23,19,0.8451327433628318,-0.21777099135650124,0.009490509490509492
ratio_clr_subclass,105,23,19,0.8451327433628318,-0.1849989425136173,0.009490509490509492
density_none_subclass,105,24,19,0.8249027237354085,-0.09587277475189541,0.003796203796203796
