layer,layer_label,n_roi,n_features,oof_r2,oof_pearson_r,oof_mae,median_alpha,top_ctype,top1_share,top5_share
l1,Layer I,105,8,0.23102906327451933,0.4927716768836346,0.005614357731280445,5.62341325190349,Sncg,0.41222664754801747,0.8108884162810961
l2,Layer II,105,13,0.355423633482141,0.5983821447601876,0.003225993443618987,1.7782794100389228,Pax6,0.19907611515989615,0.690093974789039
l3,Layer III,105,22,0.5370780758071236,0.734496653774615,0.008699841479592284,5.62341325190349,Pvalb,0.08819009282493719,0.36317071305940873
l4,Layer IV,105,18,0.7839787768854438,0.8855199551993868,0.008128723609171643,0.5623413251903491,Oligo,0.1328020490369325,0.49183035655460283
l5,Layer V,105,19,0.4932499211427007,0.7118135661774624,0.0066987474120757924,0.5623413251903491,Chandelier,0.17885009211327813,0.5386250624040594
l6,Layer VI,105,17,0.7236385271668861,0.851261327616402,0.007283686142657926,1.7782794100389228,Micro-PVM,0.12410703326640612,0.5206063452809545
