branch,normalization,use_clr,thickness,n_tested,n_fdr_sig,median_abs_r,mean_abs_r,mean_signed_r,max_abs_r,whole_match_stat,whole_match_p,whole_n_permutations,mismatch_n_fdr_sig
within_region_cross_layer__clr_false__thickness_relative,within_region_cross_layer,False,relative,97,31,0.4484833846180517,0.45827242805385254,0.4178659559142657,0.8889007040146669,0.4178659559142657,0.006934812760055479,720,38
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,absolute,97,21,0.42645366582216687,0.40863228178027716,0.3458456170057754,0.79693944548569,0.3458456170057754,0.006934812760055479,720,37
within_layer__clr_true__thickness_absolute,within_layer,True,absolute,97,14,0.3589705801298421,0.357810093287641,-0.07894573573203932,0.8146053051183644,-0.07894573573203932,0.636615811373093,720,16
within_layer__clr_true__thickness_relative,within_layer,True,relative,97,13,0.232382215810869,0.2892333909482047,-0.02339210379472095,0.8138236419168188,-0.02339210379472095,0.7267683772538142,720,13
within_region_cross_layer__clr_true__thickness_relative,within_region_cross_layer,True,relative,97,11,0.28509887992362265,0.2972735717260484,-0.024541539079538197,0.8316568529939241,-0.024541539079538197,0.9583911234396671,720,13
within_layer__clr_false__thickness_absolute,within_layer,False,absolute,97,4,0.34811172489293835,0.3504998365228722,0.20584371987939823,0.794289996485027,0.20584371987939823,0.06241331484049931,720,26
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,absolute,97,2,0.25957573944862683,0.2783647181256682,-0.019945125527408278,0.7913491121391665,-0.019945125527408278,0.970873786407767,720,12
within_layer__clr_false__thickness_relative,within_layer,False,relative,97,0,0.21710410812755204,0.27037870995111646,0.1431431077916345,0.7737150703869827,0.1431431077916345,0.07212205270457697,720,21
