class,mean_abs_shap,relative_contribution,n_ctype
Inhibitory,0.028841631820163655,0.41355671055872273,8
Excitatory,0.02782179619368402,0.39893340943528716,9
Non-neuron,0.013077023739910786,0.18750988000599,6
