layer,layer_label,n_roi,n_features,oof_r2,oof_pearson_r,median_alpha
l1,Layer I,105,8,0.24826567844551828,0.5065965917411561,5.62341325190349
l2,Layer II,105,13,0.3551066342824616,0.5980832769960793,1.7782794100389228
l3,Layer III,105,22,0.539008736872586,0.7354017380062325,5.62341325190349
l4,Layer IV,105,18,0.7840484207644606,0.8855534560838942,0.5623413251903491
l5,Layer V,105,19,0.48674119820886663,0.7077236485765095,0.5623413251903491
l6,Layer VI,105,17,0.7220053028352231,0.8503947391101935,1.7782794100389228
