phenotype,outcome,n,oof_r2,oof_pearson,oof_mae
meg,delta,103,-0.2008277705737167,0.4096561060735075,0.03260017199370073
meg,theta,102,-0.2227188031717089,0.28219977119792256,0.023957345549449824
meg,alpha,103,0.5164653431737392,0.7520880074335837,0.03672575969469057
meg,beta,102,-0.29222842842944163,0.6582011432717099,0.013392132280356758
meg,gamma1,103,-0.11549557349909523,0.2530618241581207,0.003429134894552692
meg,gamma2,103,0.22893982238458144,0.5423641233622523,0.0022541823830189646
enigma,22q,105,-0.8515375137265575,-0.6613132624831577,0.28619314630078274
enigma,adhd,105,0.5524127797710703,0.7595188428797647,0.028716010683603264
enigma,asd,105,-0.31321989145827045,0.02863028910402536,0.08019704755754511
enigma,epilepsy_gge,105,-0.3174000151869749,-0.20661624840988058,0.06511942380945444
enigma,epilepsy_rtle,105,0.2706579342432758,0.6157273424022325,0.09476688303236286
enigma,epilepsy_ltle,105,0.02607250015993745,0.2671245695646209,0.10981537584666079
enigma,depression,105,-0.2343949517605326,0.2987170649939341,0.03125689022912924
enigma,ocd,105,-0.23400343944595514,0.0623212350284209,0.02222558671862448
enigma,schizophrenia,105,-1.4314932184002305,0.004800853013754247,0.08605960125579892
enigma,bipolar,105,-1.2959178531468432,-0.017430343979187555,0.06491569142148755
enigma,obesity,105,-0.8693288197184497,0.0029954878133421465,0.06264899303927413
enigma,schizotypy,105,0.28825900807107274,0.54164716360529,0.009544234227409331
enigma,parkinson,105,0.3581100549405759,0.6268990407524405,0.027830270392745146
