branch,normalization,clr,thickness_relative,mean_oof_r2,median_oof_r2,mean_oof_pearson_r,top1_shap_share,top5_shap_share,shap_entropy,effective_n,top_ctype,top5_ctypes
within_layer__clr_true__thickness_absolute,within_layer,True,False,0.6184322152267093,0.6578456625103366,0.7813789665832612,0.10035464391146758,0.37719448096914465,3.0118255858722236,20.324470143066048,L5/6 NP,L5/6 NP; L6b; Pvalb; Sncg; Chandelier
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,False,0.6084161295180784,0.6200803023734409,0.7780425393720362,0.10142952498559135,0.37187895430031714,3.005851225844035,20.20340644021624,L6b,L6b; Oligo; L6 IT; Vip; L6 CT
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,False,0.5982611132880983,0.6353581942614513,0.7729580844694258,0.09088125921436435,0.40184692187324583,2.9883924129082438,19.853740206961863,L6b,L6b; L6 CT; L4 IT; L6 IT; Pvalb
within_layer__clr_false__thickness_absolute,within_layer,False,False,0.5956023111947194,0.6315323102146065,0.7646280847697363,0.08271393874016966,0.3681880462006323,3.01671559118218,20.424100307473296,Pvalb,Pvalb; L5/6 NP; Chandelier; L6b; Oligo
within_layer__clr_false__thickness_relative,within_layer,False,True,0.5582703079955176,0.5474938801280376,0.7471615670015535,0.0900730931157268,0.4036593189813236,2.9776584813590325,19.64177118427859,L5 ET,L5 ET; L5/6 NP; L5 IT; Pvalb; Sncg
within_layer__clr_true__thickness_relative,within_layer,True,True,0.540111071836389,0.6012452410314332,0.7259848186825192,0.09307328254637418,0.37859863699865703,3.03802925015693,20.864084800078647,L5/6 NP,L5/6 NP; Sncg; L6b; Pvalb; L5 ET
within_region_cross_layer__clr_false__thickness_relative,within_region_cross_layer,False,True,0.520732999626469,0.5151639984749121,0.7123742207352813,0.07817522670834538,0.32330845382843504,3.0659490166537786,21.45481330391408,Chandelier,Chandelier; L6 CT; Pax6; Lamp5_Lhx6; L5/6 NP
within_region_cross_layer__clr_true__thickness_relative,within_region_cross_layer,True,True,0.5133630637076295,0.5220095190087404,0.7097866582404208,0.07870716983739956,0.3389636915157836,3.0672436657361977,21.48260774641398,L5 IT,L5 IT; Pax6; Lamp5_Lhx6; Sst; Pvalb
