layer,layer_label,fold,ctype,mean_abs_shap,relative_contribution
l4,Layer IV,4,Oligo,0.022506819385580926,0.1694683724915478
l4,Layer IV,4,Pax6,0.018057404270672605,0.13596585375956377
l4,Layer IV,4,Pvalb,0.0003565118295360809,0.0026844077117431538
l4,Layer IV,4,Sncg,0.004096380530013738,0.030844293439891302
l4,Layer IV,4,Sst,0.0022386683000916183,0.01685637880970422
l4,Layer IV,4,Vip,0.011214261132438433,0.08443941146242552
l4,Layer IV,5,Astro,0.0017069028420910281,0.025404881167514316
l4,Layer IV,5,Chandelier,0.006004660978959101,0.08937104963442954
l4,Layer IV,5,Endo,4.17334921894185e-05,0.0006211451429061609
l4,Layer IV,5,L2/3 IT,0.0009510995624958883,0.01415579772196215
l4,Layer IV,5,L4 IT,0.0025766681991927923,0.038350132060483766
l4,Layer IV,5,L5 ET,0.0049558918455176555,0.07376157582595136
l4,Layer IV,5,L5 IT,0.0068758502797515745,0.10233749395408952
l4,Layer IV,5,L5/6 NP,0.004093843310313269,0.06093117912295653
l4,Layer IV,5,Lamp5,0.003794023016043414,0.05646876992208848
l4,Layer IV,5,Lamp5_Lhx6,0.002285305722684069,0.034013605745190384
l4,Layer IV,5,Micro-PVM,0.009763721827090557,0.14531945618300937
l4,Layer IV,5,OPC,0.003468743740259977,0.05162743909542585
l4,Layer IV,5,Oligo,0.006446904095293915,0.09595322498769901
l4,Layer IV,5,Pax6,0.004728379010604718,0.07037536286026971
l4,Layer IV,5,Pvalb,0.0010861400418717094,0.01616568794344902
l4,Layer IV,5,Sncg,0.002707789454601369,0.04030169006955558
l4,Layer IV,5,Sst,0.0033092801374279826,0.049254044558495046
l4,Layer IV,5,Vip,0.0023910500919724614,0.03558746400452422
l5,Layer V,1,Astro,0.0034008052817769757,0.03308138887852854
l5,Layer V,1,Chandelier,0.01580485854270309,0.15374201940432733
l5,Layer V,1,Endo,0.0034073904339287603,0.033145446053552574
l5,Layer V,1,L4 IT,0.0054541836738702335,0.05305566069808738
l5,Layer V,1,L5 ET,0.0007345035460701246,0.007144895231257606
l5,Layer V,1,L5 IT,0.0026421296105789173,0.025701358905607683
l5,Layer V,1,L5/6 NP,0.008248914018051551,0.08024144573020706
