phenotype,outcome,feature,total_dominance,relative_dominance,full_r2,method,runtime_sec,status,reason
meg,delta,Astro_1,0.0015746331390298351,0.0016559972589339342,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,Astro_2,0.007520063756605633,0.00790863894533557,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,Chandelier_1,0.5786999296976525,0.6086023935168909,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,Endo_1,-0.0013285191579931466,-0.001397166126856285,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L2/3 IT_1,0.001868867676198982,0.001965435422629643,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L2/3 IT_2,0.006396171981415177,0.006726673665346295,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L2/3 IT_3,0.005833696386158049,0.006135133946744331,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L2/3 IT_4,0.002209884448653998,0.0023240731436571208,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L2/3 IT_5,0.032524074885851295,0.03420465219823578,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L2/3 IT_6,0.0002969151822875826,0.0003122573225577148,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L2/3 IT_7,0.0028180481488865317,0.00296366175360388,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L2/3 IT_8,-0.0005037489429128295,-0.0005297785547486222,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L4 IT_1,0.0017261753506095934,0.0018153699285219016,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L4 IT_2,0.004242154560392564,0.0044613542988892144,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L4 IT_3,-0.001375078708007571,-0.0014461314923690347,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L5 ET_1,0.0001896954679848628,0.00019949737321587683,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L5 IT_1,-0.0011951364102595896,-0.001256891253197817,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L5 IT_2,0.0023838941863596474,0.002507074276762899,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L5 IT_3,-0.000948296486377953,-0.0009972966675057488,0.9508669960260212,incremental,3.094001293182373,ok,
meg,delta,L5 IT_4,0.003896259084959164,0.004097585783545841,0.9508669960260212,incremental,3.094001293182373,ok,
