BN_roi,Layer_IV_Pax6,Layer_IV_relative_thickness
1,1.4888250864925145e-06,0.0689841432632266
3,7.318326204406109e-05,0.07188030403912808
5,0.0007920868776315787,0.07001446905820058
7,6.599706270140299e-07,0.06538847263638788
9,0.0009211618701512346,0.06498303206308881
11,1.0058908584173956e-05,0.07710891951425798
13,0.00484392839613673,0.052258989316577055
15,0.0076439420761009675,0.07672377915028267
17,0.002504917006050641,0.08312618890255206
19,0.018518303815960296,0.055139247570270174
21,0.021879261869341356,0.0746300386807333
23,0.0007368734871508475,0.08085605090427553
25,0.00013285678157645578,0.06512924758437569
27,0.014244740949899064,0.055431504593958986
29,0.005532358076622473,0.0869872964884114
31,0.013961253787513485,0.08944945476030935
33,0.009038192599525392,0.09257854732816756
35,0.016214478137973925,0.0850134634983442
37,0.009929822695047823,0.08670919927417267
39,0.01155393227175192,0.08608376241549749
41,0.01030997512232388,0.05301331078636468
43,0.005792608427748425,0.08864397887821733
45,0.004793989749224591,0.08583980191421735
47,0.006519072575465411,0.07284736247937354
49,0.0007421287949304624,0.07795320026202725
51,0.008278609725206196,0.09023634638749722
53,0.009581676388750947,0.07314694012907076
55,0.0016607277882912574,0.06138090732695407
57,0.008978445409199055,0.07214092638795645
59,0.0014423921083387163,0.07462964727881194
61,0.015872971012938157,0.08007819971672604
63,0.0037135930188301404,0.07421656420827634
65,0.024134309153177044,0.08693603347667786
67,0.0082769965826977,0.07923874325492433
69,0.013605833977693778,0.07617449946464784
71,0.02096762639714401,0.0871684997993518
73,0.01941910858121105,0.08189279028814175
75,0.023049960633915737,0.08984773618497777
77,0.015244609026259903,0.07166271948491867
79,0.01930171341367963,0.08090901318569349
81,0.02110499759288788,0.08476813970589323
83,0.01793245341359004,0.08505107309586535
85,0.0246748424882656,0.08905303869372024
87,0.01905541363980953,0.08434827556320183
89,0.019284189887861833,0.08237314165596812
91,0.022197503610680396,0.089725311808598
93,0.019849877854615703,0.08509982647910816
95,0.020176765016994155,0.08685769483524326
97,0.023738078665096734,0.08746658089376408
99,0.022378631260085383,0.08660795072062928
101,0.02032616810720388,0.08636467859718178
103,0.01987882524638287,0.08055623704435524
105,0.025088401059602996,0.10214390752882738
107,0.019466131079457636,0.08616822845203341
109,0.019825747857161635,0.08310266803552811
111,0.02061698010740356,0.0754908345174055
113,0.022842831379738936,0.08000534860024769
115,0.020388949507617927,0.09247042529917911
117,0.013548910480150044,0.07822438201789998
119,0.06076659833999503,0.08904831609683289
121,0.021835193562879125,0.08665455681892473
123,0.033487294094335825,0.08871888665135759
125,0.0341880017259431,0.0996449855321303
127,0.042609730032526376,0.09841150882485439
129,0.02949377146642895,0.08229059381159363
131,0.030183656975345023,0.09035699384469889
133,0.03498784831502085,0.09284956630224908
135,0.04318110121745102,0.09351505275270357
137,0.03832902528291715,0.09590072618602065
139,0.02765876488645453,0.08817618588431056
141,0.03419633284749903,0.08852476604765909
143,0.03838432827234976,0.08929549697257815
145,0.02199640131313199,0.08647408891881336
147,0.0361874038826366,0.10945016214761465
149,0.02641238674779207,0.09068313832618634
151,0.08353995757679188,0.09454565561972564
153,0.034443984727322643,0.08933153165577802
155,0.020041330374391212,0.08922606921909058
157,0.019776617862784816,0.08905729145984077
159,0.020316938119626808,0.08662523003578225
161,0.02418777376263716,0.09562599290322958
163,0.02144921364464312,0.0765247361826186
165,0.006753271495135616,0.0740018135163685
167,0.016540547708322997,0.06704285109358035
169,0.015686288238489967,0.06615208676735265
171,0.020045086351607434,0.06522428316419361
173,0.018244005543307726,0.06488249225237719
175,0.016118473990955787,0.07092448864606185
177,0.00474215156627206,0.06447774557913782
179,3.786202217517283e-07,0.059859635697979946
181,0.07192506725785912,0.09733819544994893
183,0.005015642852995934,0.06301311591620096
185,0.016333344693820133,0.07054783018417922
187,0.0033007070041910316,0.05655453187031436
189,0.17381837864059765,0.16821131563356737
191,0.20237261157266262,0.21869986950327178
193,0.24746945218814503,0.20772399008955925
195,0.10303028093842227,0.1465475984901131
197,0.14886983751940577,0.18801095625463185
199,0.06696483168836971,0.1013660046358683
201,0.029236934989962205,0.09458951990823673
203,0.20527959293803325,0.12907809894773187
205,0.06816173230864768,0.10277686302325871
207,0.09678581589638362,0.10221045274599054
209,0.05223771696512534,0.09557977428191791
