phenotype,outcome,feature,pearson_r,spin_p,spin_q_bh,n_valid_spins
meg,delta,Astro_1,0.2084728824917114,0.6993006993006993,0.8560405112129249,1000
meg,delta,Astro_2,-0.057794261277245434,0.8861138861138861,0.9532437259709987,1000
meg,delta,Chandelier_1,0.7313917084328446,0.016983016983016984,0.401931401931402,1000
meg,delta,Endo_1,0.26312362422204477,0.48451548451548454,0.7644577644577645,1000
meg,delta,L2/3 IT_1,-0.03037284494204947,0.9270729270729271,0.9824205645101168,1000
meg,delta,L2/3 IT_2,0.05897311268627526,0.7782217782217782,0.8877216533466533,1000
meg,delta,L2/3 IT_3,-0.49249861807392875,0.2017982017982018,0.5408341658341658,1000
meg,delta,L2/3 IT_4,-0.3343511775009236,0.24375624375624375,0.5408341658341658,1000
meg,delta,L2/3 IT_5,0.1465279104307292,0.6583416583416584,0.8560405112129249,1000
meg,delta,L2/3 IT_6,-0.5081369535118411,0.21478521478521478,0.5408341658341658,1000
meg,delta,L2/3 IT_7,-0.41325929485514074,0.3596403596403596,0.6383616383616383,1000
meg,delta,L2/3 IT_8,0.32579201649020906,0.34165834165834164,0.6383616383616383,1000
meg,delta,L4 IT_1,0.47314721414850675,0.22577422577422576,0.5408341658341658,1000
meg,delta,L4 IT_2,-0.3006510951182452,0.6143856143856143,0.8560405112129249,1000
meg,delta,L4 IT_3,-0.3652280059485742,0.16183816183816183,0.5408341658341658,1000
meg,delta,L5 ET_1,-0.2087808145507633,0.6853146853146853,0.8560405112129249,1000
meg,delta,L5 IT_1,-0.5652999071562534,0.07992007992007992,0.5408341658341658,1000
meg,delta,L5 IT_2,-0.14843880680713203,0.6243756243756243,0.8560405112129249,1000
meg,delta,L5 IT_3,-0.43457587101812145,0.4095904095904096,0.6924028352599781,1000
meg,delta,L5 IT_4,-0.44453469466094836,0.4025974025974026,0.6924028352599781,1000
meg,delta,L5 IT_5,-0.14832570818559704,0.7662337662337663,0.8877216533466533,1000
meg,delta,L5/6 NP_1,-0.3853273152520769,0.15184815184815184,0.5408341658341658,1000
meg,delta,L5/6 NP_2,-0.4350540744800144,0.16683316683316685,0.5408341658341658,1000
meg,delta,L6 CT_1,-0.37102310131269084,0.17782217782217782,0.5408341658341658,1000
meg,delta,L6 CT_2,0.276417282866787,0.5634365634365635,0.8334165834165834,1000
meg,delta,L6 IT Car3_1,-0.12979793253684277,0.7372627372627373,0.8872144804348194,1000
meg,delta,L6 IT_1,0.013908688212587597,0.9660339660339661,0.9920079920079921,1000
meg,delta,L6 IT_2,-0.48682905883122957,0.15784215784215785,0.5408341658341658,1000
meg,delta,L6 IT_3,-0.18783934139314082,0.26873126873126874,0.5611741199976494,1000
meg,delta,L6b_1,0.05490741289458143,0.8001998001998002,0.8877216533466533,1000
meg,delta,L6b_2,-0.3506132810421296,0.24275724275724275,0.5408341658341658,1000
meg,delta,L6b_3,-0.006108047302687952,0.9920079920079921,0.9920079920079921,1000
meg,delta,Lamp5_1,0.24827455580375918,0.6663336663336663,0.8560405112129249,1000
meg,delta,Lamp5_2,-0.18071585538696455,0.6133866133866134,0.8560405112129249,1000
meg,delta,Lamp5_Lhx6_1,-0.5048805757352816,0.15384615384615385,0.5408341658341658,1000
meg,delta,Micro-PVM_1,0.6258308012074039,0.08191808191808192,0.5408341658341658,1000
meg,delta,Micro-PVM_2,-0.3774811255222331,0.2077922077922078,0.5408341658341658,1000
meg,delta,OPC_1,0.5350096105143836,0.13086913086913088,0.5408341658341658,1000
meg,delta,Oligo_1,0.17676732080138352,0.6883116883116883,0.8560405112129249,1000
meg,delta,Oligo_2,-0.40546187453054056,0.25774225774225773,0.5545363727181909,1000
meg,delta,Pax6_1,0.5245639133279953,0.2127872127872128,0.5408341658341658,1000
meg,delta,Pax6_2,-0.49625062992891517,0.15884115884115885,0.5408341658341658,1000
meg,delta,Pvalb_1,-0.7382696383238784,0.013986013986013986,0.401931401931402,1000
meg,delta,Pvalb_2,0.1492261581394925,0.7682317682317682,0.8877216533466533,1000
meg,delta,Pvalb_3,-0.05607580877598395,0.7982017982017982,0.8877216533466533,1000
meg,delta,Pvalb_4,-0.38100936851035344,0.21478521478521478,0.5408341658341658,1000
meg,delta,Pvalb_5,-0.6193521267058204,0.06393606393606394,0.5408341658341658,1000
meg,delta,Sncg_1,0.5206739500832342,0.24075924075924077,0.5408341658341658,1000
meg,delta,Sncg_2,0.5999298127475572,0.12987012987012986,0.5408341658341658,1000
meg,delta,Sncg_3,0.051725643996162175,0.6903096903096904,0.8560405112129249,1000
meg,delta,Sncg_4,0.6013201241493681,0.06893106893106893,0.5408341658341658,1000
