phenotype,outcome,feature,total_dominance,relative_dominance,full_r2,method,runtime_sec,status,reason
meg,delta,Astro_1,0.0007657750397719321,0.0008100550188588236,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Astro_2,0.002464621656421695,0.0026071353056468715,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Chandelier_1,-0.0006677402575037128,-0.000706351498536779,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Endo_1,0.003325881096558625,0.0035181959902968237,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L2/3 IT_1,0.0028265713972923656,0.0029900143353084542,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L2/3 IT_2,0.02397944885275405,0.025366030340225054,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L2/3 IT_3,0.0003792889649384401,0.0004012208725654696,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L2/3 IT_4,0.0021951262494962487,0.002322056665574748,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L2/3 IT_5,0.006243180894537459,0.006604184982014811,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L2/3 IT_6,0.0020306485487081583,0.002148068248488924,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L2/3 IT_7,-0.00043197749346879366,-0.00045695604902801223,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L2/3 IT_8,-0.001386617448555505,-0.001466796859524349,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L4 IT_1,0.002242072000406492,0.002371716995520034,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L4 IT_2,-0.0004472550470441261,-0.00047311700793477995,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L4 IT_3,0.002262190920618634,0.0023929992670037323,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L5 ET_1,0.0013110370912693403,0.0013868461630834792,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L5 IT_1,0.0005425138023305021,0.0005738839810042535,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L5 IT_2,0.0076513579898246364,0.008093788147742371,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L5 IT_3,0.0057749160100238894,0.006108843269168522,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L5 IT_4,-0.00010875486984740501,-0.0001150434834902249,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L5 IT_5,0.0022836946626075827,0.0024157464358427437,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L5/6 NP_1,-0.0006247627156039659,-0.0006608888342999375,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L5/6 NP_2,0.0105845903592382,0.011196630991810879,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6 CT_1,0.003434860820984431,0.003633477330298801,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6 CT_2,-0.001292441668747868,-0.00136717548362936,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6 IT Car3_1,-0.000830796407643164,-0.0008788361655946118,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6 IT_1,0.0005132724776872877,0.0005429518135202224,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6 IT_2,0.0023051095437808256,0.0024383996056010805,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6 IT_3,0.01053897554483596,0.01114837855810417,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6b_1,0.001518094912276391,0.0016058768423162304,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6b_2,0.02630822880360517,0.027829469064431303,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,L6b_3,0.0352818418907338,0.0373219700483896,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Lamp5_1,-0.0006452369898518606,-0.0006825470077198216,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Lamp5_2,0.0005487495679864507,0.0005804803219708292,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Lamp5_Lhx6_1,0.0005444319521177299,0.0005759130453917917,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Micro-PVM_1,0.0023310180581151974,0.0024658062472095407,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Micro-PVM_2,-0.001445008272595194,-0.0015285640595662042,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,OPC_1,0.00040949490273867184,0.00043317343074979295,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Oligo_1,0.013412483712324175,0.014188043723344994,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Oligo_2,0.00446958973232181,0.004728038140268273,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Pax6_1,0.002160521125920578,0.0022854505442273473,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Pax6_2,0.0881277423275616,0.09322361825008005,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Pvalb_1,0.5405375248002848,0.5717934277100548,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Pvalb_2,0.0011252823190691652,0.001190350354676687,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Pvalb_3,-0.0010816892292991875,-0.0011442365492877692,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Pvalb_4,-0.0016165201140302399,-0.0017099933576398994,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Pvalb_5,0.007807151533385959,0.008258590257125874,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Sncg_1,-4.4820707571724405e-05,-4.741240864692101e-05,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Sncg_2,0.0014949102611415688,0.0015813515678729068,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Sncg_3,0.033714129870676124,0.035663607051403895,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Sncg_4,0.0023002519644573782,0.0024332611428592873,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Sst_1,0.003784707898875639,0.004003553875707318,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Sst_10,-0.0005387678358299564,-0.0005699214086995362,0.9453370721049644,incremental,2.716930866241455,ok,
meg,delta,Sst_2,0.006409188289339229,0.0067797915457478135,0.9453370721049644,incremental,2.716930866241455,ok,
