phenotype,outcome,full_r2,alpha,spin_p,n_spin,spin_q_bh_across_outcomes
meg,delta,0.9101108154461054,3.162277660168379,0.030969030969030968,1000,0.0433851862423291
meg,theta,0.9649751205757702,0.5623413251903491,0.003996003996003996,1000,0.009490509490509492
meg,alpha,0.9629675297790842,1.0,0.03196803196803197,1000,0.0433851862423291
meg,beta,0.9615264954428298,0.5623413251903491,0.007992007992007992,1000,0.013804377440741077
meg,gamma1,0.8805340197912147,3.162277660168379,0.10789210789210789,1000,0.1281218781218781
meg,gamma2,0.810645721608803,17.78279410038923,0.26673326673326675,1000,0.26673326673326675
enigma,22q,0.6384448842733212,17.78279410038923,0.25374625374625376,1000,0.26673326673326675
enigma,adhd,0.7876097686528993,316.2277660168379,0.000999000999000999,1000,0.004745254745254746
enigma,asd,0.9676159409799308,3.162277660168379,0.000999000999000999,1000,0.004745254745254746
enigma,epilepsy_gge,0.36822437161458155,1000.0,0.16083916083916083,1000,0.1797614150555327
enigma,epilepsy_rtle,0.9223864160543871,3.162277660168379,0.005994005994005994,1000,0.012654012654012654
enigma,epilepsy_ltle,0.8483494534881716,10.0,0.000999000999000999,1000,0.004745254745254746
enigma,depression,0.8618538548003462,1.7782794100389228,0.001998001998001998,1000,0.006327006327006327
enigma,ocd,0.799353727927799,5.62341325190349,0.000999000999000999,1000,0.004745254745254746
enigma,schizophrenia,0.8921492905107504,1.7782794100389228,0.001998001998001998,1000,0.006327006327006327
enigma,bipolar,0.8235404956738281,3.162277660168379,0.014985014985014986,1000,0.023726273726273728
enigma,obesity,0.8420985388801175,17.78279410038923,0.003996003996003996,1000,0.009490509490509492
enigma,schizotypy,0.3801893339157094,1000.0,0.07492507492507493,1000,0.09490509490509491
enigma,parkinson,0.8064897968432755,31.622776601683796,0.007992007992007992,1000,0.013804377440741077
