phenotype,outcome,fold,n_train,n_test,alpha
meg,delta,0,69,34,10.0
meg,delta,1,76,27,3.162277660168379
meg,delta,2,84,19,5.62341325190349
meg,delta,3,92,11,17.78279410038923
meg,delta,4,91,12,10.0
meg,theta,0,68,34,177.82794100389228
meg,theta,1,76,26,3.162277660168379
meg,theta,2,83,19,5.62341325190349
meg,theta,3,91,11,10.0
meg,theta,4,90,12,10.0
meg,alpha,0,69,34,177.82794100389228
meg,alpha,1,76,27,10.0
meg,alpha,2,84,19,5.62341325190349
meg,alpha,3,92,11,10.0
meg,alpha,4,91,12,17.78279410038923
meg,beta,0,68,34,1.0
meg,beta,1,76,26,1.7782794100389228
meg,beta,2,83,19,3.162277660168379
meg,beta,3,91,11,5.62341325190349
meg,beta,4,90,12,5.62341325190349
meg,gamma1,0,69,34,10.0
meg,gamma1,1,76,27,5.62341325190349
meg,gamma1,2,84,19,31.622776601683796
meg,gamma1,3,92,11,56.23413251903491
meg,gamma1,4,91,12,56.23413251903491
meg,gamma2,0,69,34,5.62341325190349
meg,gamma2,1,76,27,5.62341325190349
meg,gamma2,2,84,19,56.23413251903491
meg,gamma2,3,92,11,56.23413251903491
meg,gamma2,4,91,12,56.23413251903491
enigma,22q,0,71,34,1000.0
enigma,22q,1,77,28,316.2277660168379
enigma,22q,2,86,19,100.0
enigma,22q,3,94,11,56.23413251903491
enigma,22q,4,92,13,177.82794100389228
enigma,adhd,0,71,34,3.162277660168379
enigma,adhd,1,77,28,177.82794100389228
enigma,adhd,2,86,19,316.2277660168379
enigma,adhd,3,94,11,177.82794100389228
enigma,adhd,4,92,13,177.82794100389228
enigma,asd,0,71,34,1.7782794100389228
enigma,asd,1,77,28,10.0
enigma,asd,2,86,19,10.0
enigma,asd,3,94,11,1.7782794100389228
enigma,asd,4,92,13,10.0
enigma,epilepsy_gge,0,71,34,5.62341325190349
enigma,epilepsy_gge,1,77,28,1000.0
enigma,epilepsy_gge,2,86,19,1000.0
enigma,epilepsy_gge,3,94,11,1000.0
enigma,epilepsy_gge,4,92,13,1000.0
enigma,epilepsy_rtle,0,71,34,5.62341325190349
enigma,epilepsy_rtle,1,77,28,1.0
enigma,epilepsy_rtle,2,86,19,10.0
enigma,epilepsy_rtle,3,94,11,3.162277660168379
enigma,epilepsy_rtle,4,92,13,17.78279410038923
enigma,epilepsy_ltle,0,71,34,1000.0
enigma,epilepsy_ltle,1,77,28,1.7782794100389228
enigma,epilepsy_ltle,2,86,19,1000.0
enigma,epilepsy_ltle,3,94,11,5.62341325190349
enigma,epilepsy_ltle,4,92,13,3.162277660168379
enigma,depression,0,71,34,10.0
enigma,depression,1,77,28,10.0
enigma,depression,2,86,19,1000.0
enigma,depression,3,94,11,10.0
enigma,depression,4,92,13,5.62341325190349
enigma,ocd,0,71,34,1000.0
enigma,ocd,1,77,28,0.5623413251903491
enigma,ocd,2,86,19,56.23413251903491
enigma,ocd,3,94,11,56.23413251903491
enigma,ocd,4,92,13,17.78279410038923
enigma,schizophrenia,0,71,34,3.162277660168379
enigma,schizophrenia,1,77,28,0.5623413251903491
enigma,schizophrenia,2,86,19,1.0
enigma,schizophrenia,3,94,11,1.7782794100389228
enigma,schizophrenia,4,92,13,5.62341325190349
enigma,bipolar,0,71,34,17.78279410038923
enigma,bipolar,1,77,28,3.162277660168379
enigma,bipolar,2,86,19,0.1778279410038923
enigma,bipolar,3,94,11,5.62341325190349
enigma,bipolar,4,92,13,17.78279410038923
enigma,obesity,0,71,34,10.0
enigma,obesity,1,77,28,17.78279410038923
enigma,obesity,2,86,19,3.162277660168379
enigma,obesity,3,94,11,5.62341325190349
enigma,obesity,4,92,13,10.0
enigma,schizotypy,0,71,34,1000.0
enigma,schizotypy,1,77,28,1000.0
enigma,schizotypy,2,86,19,1000.0
enigma,schizotypy,3,94,11,1000.0
enigma,schizotypy,4,92,13,1000.0
enigma,parkinson,0,71,34,31.622776601683796
enigma,parkinson,1,77,28,3.162277660168379
enigma,parkinson,2,86,19,31.622776601683796
enigma,parkinson,3,94,11,316.2277660168379
enigma,parkinson,4,92,13,56.23413251903491
