branch,effect_pearson_r,effect_spearman_r,sig_jaccard,n_sig_unclosed,n_sig_reclosed,n_sig_change,mean_abs_r_unclosed,mean_abs_r_reclosed,whole_p_unclosed,whole_p_reclosed,whole_stat_unclosed,whole_stat_reclosed,label
within_region_cross_layer__clr_false__thickness_relative,0.9996780877305592,0.99967126025668,1.0,31,31,0,0.4582724280538525,0.4576024652065885,0.0069348127600554,0.0069348127600554,0.4178659559142657,0.4173890706389339,Cross-layer | No CLR | Relative
within_region_cross_layer__clr_false__thickness_absolute,0.9998807745599289,0.999868504102672,1.0,21,21,0,0.4086322817802771,0.408492547313153,0.0069348127600554,0.0069348127600554,0.3458456170057754,0.345704532666831,Cross-layer | No CLR | Absolute
within_layer__clr_true__thickness_absolute,1.0,1.0,1.0,14,14,0,0.357810093287641,0.357810093287641,0.636615811373093,0.636615811373093,-0.0789457357320393,-0.0789457357320392,Within-layer | CLR | Absolute
within_layer__clr_true__thickness_relative,1.0,1.0,1.0,13,13,0,0.2892333909482047,0.2892333909482047,0.7267683772538142,0.7267683772538142,-0.0233921037947209,-0.0233921037947209,Within-layer | CLR | Relative
within_region_cross_layer__clr_true__thickness_relative,0.9996179419011146,0.9990532295392384,1.0,11,11,0,0.2972735717260484,0.2971328371887431,0.9583911234396671,0.9653259361997226,-0.0245415390795381,-0.025727040446971,Cross-layer | CLR | Relative
within_layer__clr_false__thickness_relative,0.8309550638024898,0.8089759099516095,0.0,0,8,8,0.2703787099511164,0.2764121421251259,0.0721220527045769,0.1331484049930651,0.1431431077916345,0.0686560245456623,Within-layer | No CLR | Relative
within_layer__clr_false__thickness_absolute,0.8226899704558219,0.8367872922364822,1.0,4,4,0,0.3504998365228722,0.3421804918205444,0.0624133148404993,0.1289875173370319,0.2058437198793982,0.1170921828045614,Within-layer | No CLR | Absolute
within_region_cross_layer__clr_true__thickness_absolute,0.9998442605766644,0.999539764359352,1.0,2,2,0,0.2783647181256682,0.2787762687066174,0.970873786407767,0.972260748959778,-0.0199451255274082,-0.0214893408308891,Cross-layer | CLR | Absolute
