,22q,adhd,asd,epilepsy_gge,epilepsy_rtle,epilepsy_ltle,depression,ocd,schizophrenia,bipolar,obesity,schizotypy,parkinson
53,0.4646097390581166,-0.03417644098777557,0.05244575378625237,-0.2858409535070145,-0.4757043829458918,-0.45325715623246415,-0.008387329773547095,-0.03372839951503006,-0.3038706378156318,-0.15954527903807625,-0.16172725045490988,-0.03000972620841685,-0.0656320812845692
55,0.42930998806557397,-0.05653778496721311,0.08953009624590157,-0.3568110545901639,-0.4972639652131142,-0.48207798422950926,-0.024227782518032762,-0.04191636804590159,-0.3261480513114752,-0.1871579849508195,-0.1943091895737707,-0.03334763218032787,-0.059817484937704835
57,0.4830971173949585,-0.02402085227478987,0.03619228510560227,-0.24455197641736637,-0.4600400119607847,-0.438231462661065,-0.0031915073770308108,-0.03203470785994394,-0.297837813837534,-0.15175973450980412,-0.1476501322464983,-0.027393853028011207,-0.07164269832212883
59,0.446703369894737,-0.04992017414736847,0.07565572512631578,-0.30680607105263213,-0.4908633998947364,-0.4705664699473689,-0.02510761286894735,-0.038859673089473676,-0.3247607816842109,-0.18072611673684205,-0.18424951115789479,-0.0331220357631579,-0.06617679675263156
61,0.5070478354285717,-0.03220022431730161,0.03590017145015871,-0.25375722905396836,-0.41244590511111134,-0.3802758671111118,-0.023282914191428583,-0.04064664815238092,-0.3201048930793649,-0.17480933116825398,-0.16469812461587258,-0.026677864384126986,-0.05826759514920651
63,0.4450343461213713,-0.05018121567546169,0.07545052424274411,-0.3333579121899734,-0.45952483897097707,-0.4552828068073869,-0.02418482969920845,-0.04775316076253295,-0.32769435976253347,-0.19966731994722944,-0.1894304338258575,-0.029803671852242735,-0.060399691044854875
65,0.4914488292783498,0.0011401156663230153,-0.04519830909278348,-0.13511855061168385,-0.45213055731958757,-0.4313380671477666,-0.006128432494872863,-0.032253840975944935,-0.2671213032302403,-0.14886130752577326,-0.13961881013745672,-0.030596533618556705,-0.11499752455326484
67,0.5164761471126755,-0.021595197147887383,-0.012257571448591556,-0.20015655452112685,-0.49130672327464736,-0.4335413440492953,-0.011428901496126756,-0.021894507838028175,-0.2776319993661969,-0.15143294813380304,-0.1610689905985914,-0.040518161214788725,-0.09867667967253511
69,0.02151123151455396,-0.00954904518422535,-0.14675691394366205,-0.12340688577934286,-0.12441269901408461,-0.28475139319248843,-0.01753448508544599,-0.007265044554225349,-0.31851335150234766,-0.15161708655399042,-0.18390750323943642,0.00643566797896713,-0.10302956276056328
71,-0.2692703247365083,0.029623630274920657,-0.139266735168254,-0.05271642554920641,-0.18767116714285728,-0.33076301015873016,-0.007253871248517461,-0.01890052335555556,-0.41155421463492076,-0.2086747438412694,-0.2176811757142855,0.001968715584793651,-0.0995826723746031
