phenotype,outcome,n,oof_r2,oof_pearson,oof_mae
meg,delta,103,-0.09577649394011045,0.414282365294509,0.031777596983755735
meg,theta,102,0.11303985432703179,0.4244521207740241,0.02016899926222888
meg,alpha,103,0.489255405685858,0.737437069667547,0.03887263470397278
meg,beta,102,-0.36942348624803967,0.6092037314522766,0.014611665769401438
meg,gamma1,103,0.03178574102874843,0.35779685674430556,0.003239715578610702
meg,gamma2,103,0.32566590354534286,0.6116038943216929,0.0022863492033256064
enigma,22q,105,-0.8004233666117724,-0.6783818830645723,0.2834951920419644
enigma,adhd,105,0.513476548909167,0.72835310201425,0.02982843674128603
enigma,asd,105,-0.08477961609977669,0.19488589829314062,0.07577202195413674
enigma,epilepsy_gge,105,-0.3220908244503029,-0.2602020014347347,0.06572888316160046
enigma,epilepsy_rtle,105,0.4700646752052704,0.7023979667164362,0.07738110206446883
enigma,epilepsy_ltle,105,-0.05808346199592895,0.21908577748482677,0.11736008679223538
enigma,depression,105,-0.16156244241320206,0.3299748768096437,0.029276960323006595
enigma,ocd,105,-0.12183354134414648,0.21788640655469435,0.02018175312438915
enigma,schizophrenia,105,-1.4760776059778329,-0.0776175100348516,0.08934758630883319
enigma,bipolar,105,-1.1069318739839833,-0.17258824536961742,0.06242422854152357
enigma,obesity,105,-1.1217620192790814,-0.16454373050901835,0.06643619076622062
enigma,schizotypy,105,-0.0049631315678089205,0.05433082058697804,0.010819650374073763
enigma,parkinson,105,0.2654398274518389,0.5646742084491652,0.029048151742411644
