phenotype,outcome,full_r2,alpha,spin_p,n_spin,spin_q_bh_across_outcomes,level,n,oof_r2,oof_pearson,oof_mae,neglog10_q,convergent
meg,delta,0.8096793697967127,1.7782794100389228,0.0909090909090909,1000,0.1570247933884297,subclass,103,-0.2008277705737167,0.4096561060735075,0.0326001719937007,0.8040317693636213,False
meg,theta,0.7343153767215076,56.23413251903491,0.0539460539460539,1000,0.1138861138861138,subclass,102,-0.2227188031717089,0.2821997711979225,0.0239573455494498,0.9435292261428464,False
meg,alpha,0.8975527427891069,5.62341325190349,0.0239760239760239,1000,0.0569430569430569,subclass,103,0.5164653431737392,0.7520880074335837,0.0367257596946905,1.2445592218068275,False
meg,beta,0.8488715902395557,1.0,0.2667332667332667,1000,0.3378621378621378,subclass,102,-0.2922284284294416,0.6582011432717099,0.0133921322803567,0.47126047421759576,False
meg,gamma1,0.6809555359864106,17.78279410038923,0.3906093906093906,1000,0.4365634365634365,subclass,103,-0.1154955734990952,0.2530618241581207,0.0034291348945526,0.35995264050889686,False
meg,gamma2,0.7310234698443983,17.78279410038923,0.1828171828171828,1000,0.267194344117421,subclass,103,0.2289398223845814,0.5423641233622523,0.0022541823830189,0.5731727391028971,False
enigma,22q,0.4977468515201126,5.62341325190349,0.4995004995004995,1000,0.5272505272505273,subclass,105,-0.8515375137265575,-0.6613132624831577,0.2861931463007827,0.27798297729377686,False
enigma,adhd,0.8297765978618042,17.78279410038923,0.0009990009990009,1000,0.0094905094905094,subclass,105,0.5524127797710703,0.7595188428797647,0.0287160106836032,2.022710472190475,True
enigma,asd,0.912620553540946,3.162277660168379,0.0009990009990009,1000,0.0094905094905094,subclass,105,-0.3132198914582704,0.0286302891040253,0.0801970475575451,2.022710472190475,False
enigma,epilepsy_gge,0.224891183919077,1000.0,0.1498501498501498,1000,0.2372627372627372,subclass,105,-0.3174000151869749,-0.2066162484098805,0.0651194238094544,0.6247704635184333,False
enigma,epilepsy_rtle,0.8808783768693815,1.0,0.0019980019980019,1000,0.0094905094905094,subclass,105,0.2706579342432758,0.6157273424022325,0.0947668830323628,2.022710472190475,True
enigma,epilepsy_ltle,0.6589404597258167,56.23413251903491,0.0109890109890109,1000,0.0298273155416012,subclass,105,0.0260725001599374,0.2671245695646209,0.1098153758466607,1.5253858313825224,True
enigma,depression,0.7745121716581318,0.1778279410038923,0.0039960039960039,1000,0.0151848151848151,subclass,105,-0.2343949517605326,0.2987170649939341,0.0312568902291292,1.8185904895345486,False
enigma,ocd,0.1354671280046888,1000.0,0.1978021978021978,1000,0.2684458398744113,subclass,105,-0.2340034394459551,0.0623212350284209,0.0222255867186244,0.5711433219431966,False
enigma,schizophrenia,0.1579920260679385,1000.0,0.6833166833166833,1000,0.6833166833166833,subclass,105,-1.4314932184002305,0.0048008530137542,0.0860596012557989,0.16537797575920246,False
enigma,bipolar,0.4932050865175881,17.78279410038923,0.2947052947052947,1000,0.3499625374625374,subclass,105,-1.2959178531468432,-0.0174303439791875,0.0649156914214875,0.4559784432042515,False
enigma,obesity,0.8267712536533797,0.5623413251903491,0.0019980019980019,1000,0.0094905094905094,subclass,105,-0.8693288197184497,0.0029954878133421,0.0626489930392741,2.022710472190475,False
enigma,schizotypy,0.6078990902971557,10.0,0.0669330669330669,1000,0.1271728271728271,subclass,105,0.2882590080710727,0.54164716360529,0.0095442342274093,0.8956056738256635,False
enigma,parkinson,0.757053005628367,10.0,0.0089910089910089,1000,0.0284715284715284,subclass,105,0.3581100549405759,0.6268990407524405,0.0278302703927451,1.5455892174708095,True
meg,delta,0.910370417206418,3.162277660168379,0.0219780219780219,1000,0.0347985347985348,cluster,103,-0.1058822987631749,0.4345783887215563,0.0283581630684901,1.4584390417519082,False
meg,theta,0.956828163267746,1.0,0.0039960039960039,1000,0.0084360084360084,cluster,102,0.3050653042591524,0.7010548792190568,0.0166203988406541,2.073862994637854,True
meg,alpha,0.9629859007994308,0.5623413251903491,0.0439560439560439,1000,0.0596546310832025,cluster,103,0.6387294773433263,0.83330429888605,0.0320075736028215,1.2243558357185405,False
meg,beta,0.9503938200016566,1.0,0.0149850149850149,1000,0.0258832077013895,cluster,102,0.1326098204810596,0.7506464676586558,0.0107421859065427,1.5869819026290337,True
meg,gamma1,0.9282898128460902,0.5623413251903491,0.0249750249750249,1000,0.0365019595788826,cluster,103,0.0604522720304705,0.4279262353953605,0.0026321751858722,1.4376838201612894,True
meg,gamma2,0.8170332552641084,17.78279410038923,0.1918081918081918,1000,0.2024642024642024,cluster,103,0.3168502982522936,0.5862829192162197,0.0019818547041632,0.6936517529262463,False
enigma,22q,0.5939489451544845,31.6227766016838,0.2547452547452547,1000,0.2547452547452547,cluster,105,-0.7893402709228605,-0.6051706956686751,0.2774948409660901,0.5938938970453636,False
enigma,adhd,0.798367354245547,316.2277660168379,0.0009990009990009,1000,0.0047452547452547,cluster,105,0.4058954935243899,0.7097449769453534,0.030818263808447,2.3237404678544564,True
enigma,asd,0.9673349662017048,3.162277660168379,0.0009990009990009,1000,0.0047452547452547,cluster,105,0.3554646773674088,0.6294929540516052,0.0523106795093547,2.3237404678544564,True
enigma,epilepsy_gge,0.3586070715054887,1000.0,0.1788211788211788,1000,0.1998589645648469,cluster,105,-0.1883397631786001,-0.1134822218174049,0.0618301206188995,0.6992763669248705,False
enigma,epilepsy_rtle,0.9246336036758817,3.162277660168379,0.0019980019980019,1000,0.0075924075924075,cluster,105,0.6175990309690256,0.7887291581068733,0.0671738419489726,2.1196204851985327,True
enigma,epilepsy_ltle,0.8600537593883351,10.0,0.0009990009990009,1000,0.0047452547452547,cluster,105,-0.0568179038877174,0.2346194605715656,0.114691097675841,2.3237404678544564,False
enigma,depression,0.8947138135407969,0.5623413251903491,0.0009990009990009,1000,0.0047452547452547,cluster,105,-0.0398681693976705,0.4656971048494953,0.0283220224465096,2.3237404678544564,False
enigma,ocd,0.7609603418432116,10.0,0.0029970029970029,1000,0.0081347224204367,cluster,105,0.0561539450108589,0.4208046655671372,0.0195193170079607,2.0896572618210842,True
enigma,schizophrenia,0.8988058557445358,1.0,0.0029970029970029,1000,0.0081347224204367,cluster,105,-0.2346700416185632,0.3586195410077976,0.062693552570806,2.0896572618210842,False
enigma,bipolar,0.8125851207196618,1.7782794100389228,0.0509490509490509,1000,0.0645354645354645,cluster,105,-0.338773272795384,0.2000464255299655,0.0496865519578395,1.1902015594842348,False
enigma,obesity,0.830422903365641,17.78279410038923,0.0039960039960039,1000,0.0084360084360084,cluster,105,-0.9017401294991698,0.1240166999906129,0.0607426789646575,2.073862994637854,False
enigma,schizotypy,0.3840718292021595,1000.0,0.0589410589410589,1000,0.0699925074925075,cluster,105,0.1453724716907711,0.3903027166477071,0.0100204777926319,1.1549484475402703,False
enigma,parkinson,0.8079711757083448,31.6227766016838,0.0059940059940059,1000,0.0113886113886113,cluster,105,0.4275117106520182,0.6612153118921014,0.0270149842582465,1.9435292261428494,True
