,"Right TLE
(cluster)","Parkinson
(cluster)","ADHD
(cluster)","ASD
(cluster)","Theta
(cluster)","Beta
(cluster)","Gamma 1
(cluster)"
Sncg_4,0.8118324638553699,1.79644840673693,1.31367045450106,0.52259692515986,4.91788320271614,4.686397379824269,5.29651361408268
L5 IT_3,1.03230076970328,5.20715620587155,2.01532803733005,2.03296921544705,0.23733474349154002,0.7716146168354701,0.58813885791052
Oligo_2,0.13669609498484,0.55102034466573,4.87040547775003,0.8846511101837901,1.21966338702322,1.46790259179733,2.54044607261318
L5 IT_4,2.4377254490591302,4.73918778725257,0.95375449425268,0.67192948125684,1.29524699199716,0.65831013140683,1.3618995988707998
Sst_5,2.21667691039944,1.63410753876176,2.2311314724317697,4.40530480182678,0.97780372540359,1.32978212325537,3.0013662731547397
L6 IT_2,4.29967180947085,2.49769492223303,1.27022453413224,1.0677363396478101,2.26884704013656,4.16906603802567,2.11912266375255
L5 ET_1,3.84776128361786,1.33803955859473,0.90250549655918,1.2274987446382901,0.65335612214147,2.50590538776155,0.25654124887358
Vip_8,0.57847714031323,0.8934375419178899,2.24306457174259,0.24523424212578998,3.5163935422672097,1.70213561542038,3.80590172956776
Sst_10,1.13124080690733,3.20765349378113,1.32949752060469,3.03797114818498,1.74408954109397,0.8825409717562099,3.73132868126492
Vip_2,0.6495638524541,3.63510215353424,1.23856761867755,2.11762370055314,0.72672750909499,1.1547505016725599,2.46583635109112
L6b_3,0.52023285084247,0.3947392770032,1.89087130858334,1.88202907011027,3.57896116055064,3.3312705728615,1.6580997439593899
Micro-PVM_1,1.14686324441474,1.75760798387909,3.5337231391393,0.7579365768916699,0.44971577878644003,1.6374432672575399,0.91524145165274
L2/3 IT_7,1.96867978528742,2.6288925288632004,0.8559310085828701,1.71484473664771,1.0286386570818902,3.3722691725193896,2.71125700234286
Vip_1,0.51656542870717,0.70923619787434,3.3376192436327203,1.02812366536792,1.83413069661962,1.90454561311677,1.27299800554946
Sncg_1,3.1688829107648697,2.14208527479882,0.8891968548283801,0.86750178134095,0.70197482006506,2.7637971053809802,2.62580805003703
L6 IT_3,1.35318855837765,1.1583807906655201,1.15398075412366,3.12076501258404,2.7997085080537403,1.76220927388874,1.21530657187536
