branch,normalization,use_clr,thickness,n_tested,n_fdr_sig,median_abs_r,mean_abs_r,mean_signed_r,max_abs_r,whole_match_stat,whole_match_p,whole_n_permutations,mismatch_n_fdr_sig
within_region_cross_layer__clr_false__thickness_relative,within_region_cross_layer,False,relative,97,31,0.4484833846180586,0.45760246520658854,0.41738907063893393,0.8889007040146715,0.41738907063893393,0.006934812760055479,720,38
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,absolute,97,21,0.4264536658220822,0.408492547313153,0.345704532666831,0.7969394454856904,0.345704532666831,0.006934812760055479,720,37
within_layer__clr_true__thickness_absolute,within_layer,True,absolute,97,14,0.35897058012984256,0.357810093287641,-0.07894573573203927,0.8146053051183642,-0.07894573573203927,0.636615811373093,720,16
within_layer__clr_true__thickness_relative,within_layer,True,relative,97,13,0.23238221581086932,0.2892333909482047,-0.023392103794720922,0.8138236419168191,-0.023392103794720922,0.7267683772538142,720,13
within_region_cross_layer__clr_true__thickness_relative,within_region_cross_layer,True,relative,97,11,0.28123367405936817,0.2971328371887431,-0.025727040446971085,0.8323035432652922,-0.025727040446971085,0.9653259361997226,720,13
within_layer__clr_false__thickness_relative,within_layer,False,relative,97,8,0.22544185407850012,0.2764121421251259,0.06865602454566232,0.773715070386979,0.06865602454566232,0.13314840499306518,720,18
within_layer__clr_false__thickness_absolute,within_layer,False,absolute,97,4,0.3481117248930517,0.34218049182054444,0.11709218280456145,0.7942899964849963,0.11709218280456145,0.1289875173370319,720,16
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,absolute,97,2,0.2607176185531614,0.2787762687066174,-0.02148934083088913,0.7895774298471593,-0.02148934083088913,0.9722607489597781,720,12
