branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0
within_layer__clr_false__thickness_absolute,l1,Astro,0.09599795317762119,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l1,Endo,0.1972635526253474,0.40099833610648916,600,0.670635148316025,False
within_layer__clr_false__thickness_absolute,l1,Lamp5,0.26379012840822375,0.40099833610648916,600,0.670635148316025,False
within_layer__clr_false__thickness_absolute,l1,Micro-PVM,0.5310684343178046,0.20133111480865223,600,0.46497900324855396,False
within_layer__clr_false__thickness_absolute,l1,OPC,0.28676330392681976,0.0016638935108153079,600,0.006207602713426341,True
within_layer__clr_false__thickness_absolute,l1,Pax6,0.15874122373084543,0.800332778702163,600,0.8258753141926576,False
within_layer__clr_false__thickness_absolute,l1,Sncg,0.3569530212317264,0.0016638935108153079,600,0.006207602713426341,True
within_layer__clr_false__thickness_absolute,l1,VLMC,-0.1411417888201071,0.40099833610648916,600,0.670635148316025,False
within_layer__clr_false__thickness_absolute,l2,Astro,0.36319932484027473,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,Chandelier,0.09205971573629167,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,Endo,0.13493364038577751,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,L2/3 IT,-0.34811172489293835,0.40099833610648916,600,0.670635148316025,False
within_layer__clr_false__thickness_absolute,l2,Lamp5,0.5534719225738667,0.40099833610648916,600,0.670635148316025,False
within_layer__clr_false__thickness_absolute,l2,Lamp5_Lhx6,0.20977640994261554,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,Micro-PVM,0.38641817636846276,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,OPC,0.34785052698128444,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,Pax6,0.6369452315364534,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,Pvalb,-0.08351399019684089,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,Sncg,0.6365101608583222,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,Sst,0.19735992561645707,0.6006655574043261,600,0.7469815265156363,False
within_layer__clr_false__thickness_absolute,l2,Vip,0.4617449183198365,0.6006655574043261,600,0.7469815265156363,False
