layer,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
l1,0.245873529455619,,0.17680565048986102,,,,,,,,,,0.245873529455619,,0.6129937478252085,0.5410422910422911,,0.18545247855592684,,0.11164922034487251,,0.32091285338038583,
l2,0.15310689310689313,0.3753461728145272,0.9155323842823843,0.11011715557170103,,,,,,,,,0.06166560712015257,0.2743313025003166,0.7330929939625592,0.15310689310689313,,0.013843299557585271,0.5437973790914967,0.07595107595107596,0.3200352279299648,,0.5148706714971776
l3,0.2392295204795205,0.20162095968547583,0.7330929939625592,0.999000999000999,0.04688859527569206,0.15310689310689313,0.29463779463779466,0.5022416607782462,0.19052134306371596,0.8904884589095116,0.24151233382002613,0.12782961719131933,0.1603305785123967,0.19857191988339531,0.7418817741398387,0.4772477522477523,0.6129937478252085,0.7330929939625592,0.1081708988685733,0.2934010434010434,0.5022416607782462,,0.3689771766694844
l4,0.0074540843771613,0.010767010767010766,0.013843299557585271,0.010767010767010766,0.031147424004566868,0.0074540843771613,0.02512302512302512,0.0074540843771613,,,,,0.0074540843771613,0.0074540843771613,0.0074540843771613,0.0074540843771613,0.0074540843771613,0.0074540843771613,0.010767010767010766,0.0074540843771613,0.013843299557585271,,0.0074540843771613
l5,0.2353360924789496,0.11164922034487251,0.5915596031875102,,0.1081708988685733,0.0334148610010679,0.010767010767010766,0.022362253131483902,0.0074540843771613,0.0869643177335485,0.8628499160414054,0.06056443556443557,0.29463779463779466,0.07650244492349756,0.1603305785123967,0.09690309690309691,0.15839929301467762,,0.07595107595107596,,0.06270200387847448,,0.16265876980162697
l6,0.1921911421911422,0.01615051615051615,0.01938061938061938,,,0.010767010767010766,0.6036951554192933,0.2707586531115943,0.1603305785123967,0.2727130012844299,0.2727130012844299,0.03553113553113553,0.1081708988685733,0.0074540843771613,0.30104562104562105,0.01615051615051615,0.01615051615051615,,0.07198515769944341,,0.15839929301467762,,
