branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_false__thickness_absolute,l4,Pax6,0.5107147329918623,0.07192807192807193,False,0.26834703757780687
within_layer__clr_false__thickness_absolute,l4,Pvalb,0.4386897723432481,0.17882117882117882,False,0.41235360384296554
within_layer__clr_false__thickness_absolute,l4,Sncg,0.23643807058013488,0.37362637362637363,False,0.5906474477903049
within_layer__clr_false__thickness_absolute,l4,Sst,0.3197298354831252,0.33666333666333664,False,0.5715640291911479
within_layer__clr_false__thickness_absolute,l4,Vip,0.3479587507225456,0.2937062937062937,False,0.5375379337643489
within_layer__clr_false__thickness_absolute,l5,Astro,0.5270612997625029,0.022977022977022976,False,0.1392982017982018
within_layer__clr_false__thickness_absolute,l5,Chandelier,0.4915186678751989,0.22077922077922077,False,0.44615800865800864
within_layer__clr_false__thickness_absolute,l5,Endo,0.19602442892468125,0.3826173826173826,False,0.5906474477903049
within_layer__clr_false__thickness_absolute,l5,L4 IT,0.25350036701192985,0.5494505494505495,False,0.7402319902319903
within_layer__clr_false__thickness_absolute,l5,L5 ET,0.42797832120268375,0.3256743256743257,False,0.5641144569715999
within_layer__clr_false__thickness_absolute,l5,L5 IT,-0.4298698254571957,0.1918081918081918,False,0.41235360384296554
within_layer__clr_false__thickness_absolute,l5,L5/6 NP,-0.3040389259622562,0.47152847152847155,False,0.6726214961509079
within_layer__clr_false__thickness_absolute,l5,L6 CT,-0.07500071885754378,0.8621378621378621,False,0.9189821167843146
within_layer__clr_false__thickness_absolute,l5,L6 IT,-0.35481897921052796,0.0899100899100899,False,0.3007337490096111
within_layer__clr_false__thickness_absolute,l5,L6 IT Car3,0.10177811979813499,0.8021978021978022,False,0.894404446128584
within_layer__clr_false__thickness_absolute,l5,L6b,-0.2156496373480441,0.30569430569430567,False,0.5491175491175491
within_layer__clr_false__thickness_absolute,l5,Lamp5,0.1469387470100972,0.7622377622377622,False,0.8597332899658481
within_layer__clr_false__thickness_absolute,l5,Lamp5_Lhx6,-0.24881509244050035,0.5784215784215784,False,0.748091908091908
within_layer__clr_false__thickness_absolute,l5,Micro-PVM,0.6642011295934673,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l5,OPC,0.5634367765067635,0.060939060939060936,False,0.2570038656995179
within_layer__clr_false__thickness_absolute,l5,Oligo,0.11619567542147731,0.7622377622377622,False,0.8597332899658481
within_layer__clr_false__thickness_absolute,l5,Pvalb,0.5955485418334692,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l5,Sst,0.2836699328775569,0.2827172827172827,False,0.5375379337643489
within_layer__clr_false__thickness_absolute,l5,Vip,0.5133732061993257,0.11388611388611389,False,0.32475632475632477
within_layer__clr_false__thickness_absolute,l6,Astro,0.694145249291151,0.011988011988011988,False,0.11452184179456908
within_layer__clr_false__thickness_absolute,l6,Chandelier,0.6538695040628564,0.04495504495504495,False,0.22950733477049265
within_layer__clr_false__thickness_absolute,l6,Endo,0.4489726230508535,0.08091908091908091,False,0.28032681604110177
within_layer__clr_false__thickness_absolute,l6,L5 ET,-0.4306001732250878,0.12387612387612387,False,0.32475632475632477
within_layer__clr_false__thickness_absolute,l6,L5 IT,-0.794289996485027,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l6,L5/6 NP,-0.4679607178237221,0.11988011988011989,False,0.32475632475632477
within_layer__clr_false__thickness_absolute,l6,L6 CT,-0.6331523735205611,0.003996003996003996,False,0.0646020646020646
within_layer__clr_false__thickness_absolute,l6,L6 IT,-0.2884861761833012,0.5954045954045954,False,0.7588645121112655
within_layer__clr_false__thickness_absolute,l6,L6 IT Car3,0.0011801223603240942,0.999000999000999,False,0.999000999000999
within_layer__clr_false__thickness_absolute,l6,L6b,-0.23196696589844665,0.43356643356643354,False,0.6470145239376008
within_layer__clr_false__thickness_absolute,l6,Lamp5,0.6080880559818458,0.012987012987012988,False,0.11452184179456908
within_layer__clr_false__thickness_absolute,l6,Lamp5_Lhx6,0.5893006221634153,0.06593406593406594,False,0.2664835164835165
within_layer__clr_false__thickness_absolute,l6,Micro-PVM,0.7881092947121925,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l6,OPC,0.6827123149073883,0.022977022977022976,False,0.1392982017982018
within_layer__clr_false__thickness_absolute,l6,Oligo,0.6015298371057344,0.00999000999000999,False,0.10767010767010766
within_layer__clr_false__thickness_absolute,l6,Pvalb,0.40050001139108443,0.1068931068931069,False,0.32475632475632477
within_layer__clr_false__thickness_absolute,l6,Sst,0.26032940634629104,0.5314685314685315,False,0.7260908105978529
within_layer__clr_false__thickness_relative,l1,Astro,-0.042369563927088606,0.8421578421578422,False,0.9498757056896593
within_layer__clr_false__thickness_relative,l1,Endo,-0.03226696996332104,0.9010989010989011,False,0.9711843711843712
within_layer__clr_false__thickness_relative,l1,Lamp5,0.18897184002105413,0.6413586413586414,False,0.8522162768738112
within_layer__clr_false__thickness_relative,l1,Micro-PVM,0.026264700466373705,0.938061938061938,False,0.9890435651305217
within_layer__clr_false__thickness_relative,l1,OPC,0.14156791220792703,0.6923076923076923,False,0.860014985014985
within_layer__clr_false__thickness_relative,l1,Pax6,-0.0807123416140182,0.7042957042957043,False,0.860014985014985
