branch,within_layer__clr_false__thickness_absolute,within_layer__clr_false__thickness_relative,within_layer__clr_true__thickness_absolute,within_layer__clr_true__thickness_relative,within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer__clr_false__thickness_relative,within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer__clr_true__thickness_relative
within_layer__clr_false__thickness_absolute,1.0,0.773051230801599,0.7961287607826636,0.6226593730275616,0.43464653902798234,0.35359246791500104,0.5334788554597096,0.35716915632232277
within_layer__clr_false__thickness_relative,0.773051230801599,1.0,0.5467073427309068,0.6828450452345887,0.4767909741216074,0.5540316642120766,0.4416421207658321,0.4780138859667578
within_layer__clr_true__thickness_absolute,0.7961287607826636,0.5467073427309068,1.0,0.7779560277719335,0.18124079528718703,0.09250736377025037,0.4738717652009257,0.29599726488533556
within_layer__clr_true__thickness_relative,0.6226593730275616,0.6828450452345887,0.7779560277719335,1.0,0.06011992425836314,0.08841784136334946,0.45417367978119083,0.4376577950767936
within_region_cross_layer__clr_false__thickness_absolute,0.43464653902798234,0.4767909741216074,0.18124079528718703,0.06011992425836314,1.0,0.880207237534189,0.18606669471912476,0.13164054281506418
within_region_cross_layer__clr_false__thickness_relative,0.35359246791500104,0.5540316642120766,0.09250736377025037,0.08841784136334946,0.880207237534189,1.0,0.1640674310961498,0.3207184935830002
within_region_cross_layer__clr_true__thickness_absolute,0.5334788554597096,0.4416421207658321,0.4738717652009257,0.45417367978119083,0.18606669471912476,0.1640674310961498,1.0,0.7943009678098043
within_region_cross_layer__clr_true__thickness_relative,0.35716915632232277,0.4780138859667578,0.29599726488533556,0.4376577950767936,0.13164054281506418,0.3207184935830002,0.7943009678098043,1.0
