branch,l1,l2,l3,l4,l5,l6
within_region_cross_layer__clr_false__thickness_relative,0.3274321020933976,0.22866215125341435,0.27319056424076943,0.7978353929046469,0.4430571027235869,0.5924144882854944
within_region_cross_layer__clr_false__thickness_absolute,0.3055566290274399,0.23639270556375264,0.1511072296663899,0.7500698773303818,0.4830634775775022,0.4774088358563875
within_layer__clr_true__thickness_absolute,0.3326006453392872,0.27091604362270155,0.2959976292454584,0.2916557165086251,0.40495459723839894,0.5334692488827558
within_layer__clr_true__thickness_relative,0.1734433051233734,0.16783241552777473,0.18283873782651935,0.3129920668643442,0.3002950618358249,0.5367267922650294
within_region_cross_layer__clr_true__thickness_relative,0.21038173358653323,0.16766451719176423,0.2564617125976571,0.3349138007951159,0.2924974720778605,0.455575635547153
within_layer__clr_false__thickness_absolute,0.25396492577981195,0.34245351294226317,0.2611819661484253,0.37134744306459344,0.34260096806807144,0.5044231437946637
within_region_cross_layer__clr_true__thickness_absolute,0.2603873016085115,0.2352896445057307,0.17242854917738099,0.29404451424159866,0.3123733315607462,0.40224654287305256
within_layer__clr_false__thickness_relative,0.1309380325656149,0.12136792928610879,0.20803677440424592,0.3268329367648786,0.24069005506980362,0.5040314458250866
