phenotype,outcome,full_r2,alpha,spin_p,n_spin,spin_q_bh_across_outcomes
meg,delta,0.878107187168222,5.62341325190349,0.053946053946053944,1000,0.07884423269038653
meg,theta,0.9059066384882011,5.62341325190349,0.028971028971028972,1000,0.04587079587079587
meg,alpha,0.9086869516418339,17.78279410038923,0.09090909090909091,1000,0.11515151515151516
meg,beta,0.8894393748717669,10.0,0.14385614385614387,1000,0.15184815184815187
meg,gamma1,0.9030405748366588,1.7782794100389228,0.022977022977022976,1000,0.039687585142130596
meg,gamma2,0.8510555989817563,5.62341325190349,0.12487512487512488,1000,0.13956631603690428
enigma,22q,0.6247055747230198,31.622776601683796,0.1068931068931069,1000,0.12693556443556445
enigma,adhd,0.7765982773914231,316.2277660168379,0.000999000999000999,1000,0.004745254745254746
enigma,asd,0.9626723018131912,3.162277660168379,0.000999000999000999,1000,0.004745254745254746
enigma,epilepsy_gge,0.35063637182491336,1000.0,0.1978021978021978,1000,0.1978021978021978
enigma,epilepsy_rtle,0.9067603881859035,5.62341325190349,0.003996003996003996,1000,0.007592407592407592
enigma,epilepsy_ltle,0.9090897874224086,1.7782794100389228,0.000999000999000999,1000,0.004745254745254746
enigma,depression,0.8848400588563694,0.5623413251903491,0.001998001998001998,1000,0.007592407592407592
enigma,ocd,0.8041793388828838,3.162277660168379,0.003996003996003996,1000,0.007592407592407592
enigma,schizophrenia,0.8893568873100148,1.0,0.003996003996003996,1000,0.007592407592407592
enigma,bipolar,0.8181610503526195,3.162277660168379,0.003996003996003996,1000,0.007592407592407592
enigma,obesity,0.80156627938525,31.622776601683796,0.002997002997002997,1000,0.007592407592407592
enigma,schizotypy,0.4180334777564919,562.341325190349,0.09090909090909091,1000,0.11515151515151516
enigma,parkinson,0.9109602226314817,1.7782794100389228,0.000999000999000999,1000,0.004745254745254746
