phenotype,outcome,feature,total_dominance,relative_dominance,full_r2,method,runtime_sec,status,reason
meg,delta,Astro_1,-0.0006331917114387187,-0.0006667747844205868,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Astro_2,0.0011059037314866682,0.0011645583933442114,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Chandelier_1,0.020661994435149267,0.021757860433600083,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Endo_1,0.0020601938282888144,0.0021694619037268387,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L2/3 IT_1,0.004454967888477102,0.00469124942695565,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L2/3 IT_2,0.0003331192783030401,0.0003507871801924996,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L2/3 IT_3,0.03549060754163158,0.03737295003239681,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L2/3 IT_4,0.0026839875542882252,0.0028263402545680217,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L2/3 IT_5,0.0009965989657276797,0.0010494563471416594,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L2/3 IT_6,-0.0006138657033157857,-0.0006464237680268318,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L2/3 IT_7,0.0003512263011803407,0.000369854559088029,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L2/3 IT_8,0.0007307058979953984,0.0007694609054557826,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L4 IT_1,0.00534757854808221,0.005631202160666246,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L4 IT_2,0.0021205493336049486,0.0022330185301304294,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L4 IT_3,0.0002983375393068588,0.0003141606955086482,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L5 ET_1,0.005297395450249098,0.0055783574634998825,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L5 IT_1,9.705544993021675e-06,1.0220305404349324e-05,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L5 IT_2,0.05283806169484895,0.05564047437660481,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L5 IT_3,0.0026722012973201537,0.002813928880876545,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L5 IT_4,0.00032548081758809744,0.0003427435925957218,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L5 IT_5,0.0007417158284569458,0.0007810547780181755,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L5/6 NP_1,0.001616034859435178,0.0017017457360073633,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L5/6 NP_2,0.002601384320274014,0.0027393559296672375,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6 CT_1,0.004105904611503286,0.004323672614042986,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6 CT_2,-0.00033893936852102957,-0.0003569159549858252,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6 IT Car3_1,-0.0006194322217445425,-0.0006522855221500406,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6 IT_1,-0.000673889597442856,-0.0007096311953251516,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6 IT_2,0.01054637471298725,0.011105730853129426,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6 IT_3,0.001509037587037021,0.0015890735674554905,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6b_1,-0.0004638558852025909,-0.0004884577644824578,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6b_2,0.004183453654717284,0.004405334685161301,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,L6b_3,-0.0015075876139886146,-0.001587546691077766,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Lamp5_1,0.0016530176338241942,0.0017406899940812434,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Lamp5_2,0.03229304745153494,0.034005798502725525,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Lamp5_Lhx6_1,0.002222603420510838,0.002340485337681179,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Micro-PVM_1,0.004043257530581101,0.004257702871985629,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Micro-PVM_2,0.004921047850533156,0.0051820492283563314,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,OPC_1,0.0010317762421054866,0.0010864993476257011,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Oligo_1,0.008807683246052522,0.00927482307733881,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Oligo_2,0.008436997271559,0.008884476747363873,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Pax6_1,0.0003686516445307042,0.00038820410369829166,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Pax6_2,0.0038461540707082076,0.004050145485192482,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Pvalb_1,0.0014993623335211037,0.0015788851601204797,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Pvalb_2,0.004316647753195402,0.004545593100889847,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Pvalb_3,-5.5970925829318396e-05,-5.893949862177929e-05,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Pvalb_4,0.0033150958348454607,0.0034909211075903283,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Pvalb_5,0.0008134036574345416,0.0008565447691987414,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sncg_1,-0.0010325380410054485,-0.0010873015506364446,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sncg_2,-4.708460262947689e-05,-4.958186470328883e-05,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sncg_3,0.0018121861537415684,0.0019083004565007638,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sncg_4,0.016534917531714988,0.017411892596589155,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst Chodl_1,0.0014526620632692167,0.0015297080119249782,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_1,-0.0003097164566702171,-0.0003261431252133162,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_10,0.002738832987006834,0.0028840945664403484,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_2,0.0005629227537474746,0.0005927789182877542,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_3,0.0015917939619487509,0.0016762191555046771,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_4,0.0002917798885970768,0.000307255241663737,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_5,-0.0006032924161100128,-0.0006352896973024578,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_6,0.01148269882144648,0.012091715499307352,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_7,0.02549965784182673,0.026852102693590417,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_8,-0.0015951476459304947,-0.00167975071138822,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,Sst_9,0.0016074231897296176,0.001692677322590549,0.9496335587869431,incremental,2.8936920166015625,ok,
meg,delta,VLMC_1,-0.0011481711106071657,-0.001209067539771692,0.9496335587869431,incremental,2.8936920166015625,ok,
