branch,normalization,use_clr,thickness,n_tested,n_fdr_sig,median_abs_r,mean_abs_r,mean_signed_r,max_abs_r,whole_match_stat,whole_match_p,whole_n_permutations,mismatch_n_fdr_sig,whole_match_p_original,mismatch_n_fdr_sig_original
within_region_cross_layer__clr_false__thickness_relative,within_region_cross_layer,False,relative,97,31,0.4484833846180586,0.4576024652065885,0.4173890706389339,0.8889007040146715,0.4173890706389339,0.005555555555555556,720,0,0.0069348127600554,38
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,absolute,97,21,0.4264536658220822,0.408492547313153,0.345704532666831,0.7969394454856904,0.345704532666831,0.005555555555555556,720,0,0.0069348127600554,37
within_layer__clr_true__thickness_absolute,within_layer,True,absolute,97,14,0.3589705801298425,0.357810093287641,-0.0789457357320392,0.8146053051183642,-0.0789457357320392,0.6361111111111111,720,0,0.636615811373093,16
within_layer__clr_true__thickness_relative,within_layer,True,relative,97,13,0.2323822158108693,0.2892333909482047,-0.0233921037947209,0.8138236419168191,-0.0233921037947209,0.7263888888888889,720,0,0.7267683772538142,13
within_region_cross_layer__clr_true__thickness_relative,within_region_cross_layer,True,relative,97,11,0.2812336740593681,0.2971328371887431,-0.025727040446971,0.8323035432652922,-0.025727040446971,0.9652777777777778,720,0,0.9653259361997226,13
within_layer__clr_false__thickness_relative,within_layer,False,relative,97,8,0.2254418540785001,0.2764121421251259,0.0686560245456623,0.773715070386979,0.0686560245456623,0.13194444444444445,720,0,0.1331484049930651,18
within_layer__clr_false__thickness_absolute,within_layer,False,absolute,97,4,0.3481117248930517,0.3421804918205444,0.1170921828045614,0.7942899964849963,0.1170921828045614,0.12777777777777777,720,0,0.1289875173370319,16
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,absolute,97,2,0.2607176185531614,0.2787762687066174,-0.0214893408308891,0.7895774298471593,-0.0214893408308891,0.9722222222222222,720,0,0.972260748959778,12
