,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
delta,0.022608289164683746,0.05953822220606861,0.12514668934358444,0.039730764751311695,0.052092594454630846,0.044489734578150086,0.03756792287432106,0.05017409648146373,0.025865581828288516,0.026543627064126833,0.05440818940055249,0.03597700822942596,0.017025535737978003,0.033006707416131,0.1032934504980476,0.03118208260181609,0.04865210355301353,0.025798768625194122,0.024703037202217573,0.03410158256267084,0.02623302155088338,0.05465186869701073,0.027209121178429097
theta,0.0227076693820067,0.05970464706282576,0.12581905314103878,0.03987207998607971,0.052381654365995525,0.04414011746820611,0.037800695869604745,0.05006878709016597,0.02570576668762581,0.026510548243512393,0.054416871767512746,0.035685782842456285,0.017111651000630262,0.03288681223489158,0.10350209153779012,0.031129228598372968,0.04820219046539825,0.02578088904558476,0.024541398983334756,0.0340476810401447,0.026303748722784487,0.0545087221483394,0.027171912315697915
alpha,0.02260828916472822,0.05953822220602749,0.1251466893436154,0.03973076475134636,0.05209259445445574,0.044489734578055246,0.03756792287435183,0.05017409648162276,0.025865581828328914,0.02654362706412845,0.05440818940061009,0.035977008229357926,0.017025535737990684,0.033006707416059246,0.10329345049802552,0.031182082601790367,0.04865210355299029,0.025798768625185115,0.024703037202337432,0.03410158256265004,0.026233021550878352,0.05465186869699473,0.027209121178469745
beta,0.022707669381998318,0.05970464706277371,0.1258190531410747,0.03987207998610889,0.052381654365858024,0.04414011746818204,0.03780069586965153,0.05006878709022916,0.025705766687658355,0.026510548243475464,0.05441687176756305,0.03568578284237631,0.017111651000663183,0.03288681223486414,0.10350209153778298,0.031129228598344653,0.04820219046542109,0.025780889045558666,0.024541398983381018,0.03404768104019494,0.026303748722812523,0.054508722148333716,0.027171912315693512
gamma1,0.022608289164621764,0.05953822220606679,0.12514668934357637,0.03973076475123902,0.0520925944546361,0.0444897345782273,0.037567922874349555,0.050174096481380784,0.025865581828305853,0.026543627064075554,0.05440818940058325,0.03597700822946536,0.01702553573794697,0.03300670741614391,0.10329345049803895,0.03118208260178123,0.04865210355310246,0.025798768625157426,0.024703037202195303,0.034101582562745925,0.026233021550815232,0.05465186869701295,0.027209121178531883
gamma2,0.022608289165298483,0.05953822220585146,0.12514668934378054,0.03973076475158532,0.052092594454297494,0.04448973457768453,0.03756792287445244,0.050174096482357086,0.02586558182823874,0.026543627064335547,0.05440818940043108,0.035977008228775434,0.01702553573826689,0.03300670741608584,0.10329345049804627,0.03118208260189869,0.048652103552332904,0.025798768625281278,0.024703037202743937,0.03410158256240576,0.026233021551136625,0.05465186869699147,0.027209121177722062
