feature,model_r_sq,model_pval,model_pval_adj
delta,0.8158395247685577,0.04195804195804196,0.2517482517482518
theta,0.8322417626117413,0.052947052947052944,0.2647352647352647
alpha,0.8858238858303507,0.0969030969030969,0.3876123876123876
beta,0.8255480707342552,0.25574425574425574,0.3876123876123876
gamma1,0.7606998267955241,0.14885114885114886,0.3876123876123876
gamma2,0.7779213459586043,0.11988011988011989,0.3876123876123876
