feature,model_r_sq,model_pval,model_pval_adj
delta,0.8063819414827105,0.03996003996003996,0.23976023976023975
theta,0.8097906825545569,0.08191808191808192,0.4095904095904096
alpha,0.8885999445071597,0.08191808191808192,0.4095904095904096
beta,0.8212830190272158,0.2727272727272727,0.7642357642357642
gamma1,0.7325034872388878,0.26673326673326675,0.7642357642357642
gamma2,0.7471691716227988,0.2547452547452547,0.7642357642357642
