,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
delta,0.16511208667328822,0.08197702587433067,0.016036526002011175,0.1116163557204676,0.15937237746914082,0.03347156649030375,0.05954464223730971,0.07630004681344468,0.01758378181152818,0.026151864655436674,0.005150944168789061,0.027313770111774226,0.008813504898039745,0.032032286577317715,0.01366164706026362,0.04945475559620044,0.03833989851529856,0.00693151475508106,0.016306164616919736,0.002879944687917214,0.0348366718502243,0.006783969689710258,0.010328653725202449
theta,0.09797193213210628,0.0603135848301815,0.030892628101844764,0.1326665578320201,0.14193868127373002,0.006815709431593936,0.05613544549087229,0.11028689387111196,0.00439047520713212,0.012258811877870073,0.006724484327792648,0.015507963220244657,0.012738292026405215,0.016295104947218454,0.014326818717106442,0.11544567381912721,0.05496874426027411,0.012147505614873844,0.014498724191688059,0.024546733122413757,0.047062806586061136,0.005843407532321972,0.0062230215860094385
alpha,0.08018463195188061,0.07326369810342338,0.0011260666130655057,0.03595089737439793,0.006805770776134499,0.09014628985309922,0.004355112784751477,0.05316611447110592,0.04068145284893818,0.017001230427671724,0.038050832711498464,0.026242117541152,0.06387686110501832,0.033052093777935554,0.0207074678776093,0.07543987479353363,0.035684915356267034,0.009202598290205564,0.07761159025562614,0.024472873446400673,0.06279346703952021,0.019619947596121665,0.11056409500464283
beta,0.04069915957544423,0.06589422933673224,0.003182277617651948,0.04771886446200796,0.07807085516346209,0.0163879289545304,0.006600110954011796,0.09460350129846483,0.04122404507589637,0.015080110219939736,0.025203674625478654,0.027198746969518454,0.05111877810336707,0.010578326623577251,0.03454174559506557,0.15682720731136013,0.009038928535559744,0.06097999685952747,0.056363906431047536,0.12004360347843888,0.0013728573079517675,0.007776405181615222,0.029494740319350878
gamma1,0.16968526279568957,0.04322605780683042,0.0045056441304790204,0.10583176129540678,0.16031170712107815,0.0011808906953612555,0.032134253680403756,0.0794090713743444,0.03086103920310161,0.03948861601925569,0.022926697169176762,0.0008199359888036779,0.013931960615214137,0.02226521765063832,0.004526044772925944,0.07328635611159766,0.028247869820237786,0.023495627298864202,0.0040840877989702035,0.06120532747500431,0.04312136265697638,0.010078711699204311,0.025376496820435697
gamma2,0.19987902820202014,0.06875516093963055,0.006355226798487822,0.09602044359056429,0.16901195764792928,0.014155136985800856,0.043588570145208415,0.06277544321377326,0.02634128032250005,0.03610559509408938,0.02271180913405512,0.0015404453030252302,0.03245907674540952,0.027144469592225957,0.011415060213147381,0.028837337666984045,0.02994786436094343,0.007078398312511451,0.01577368079847154,0.028065888251855572,0.03297550428056079,0.011799639627445995,0.02726298277335987
