branch,normalization,clr,thickness_relative,mean_oof_r2,median_oof_r2,mean_oof_pearson_r,top1_shap_share,top5_shap_share,shap_entropy,effective_n,top_ctype,top5_ctypes
within_layer__clr_true__thickness_absolute,within_layer,True,False,0.6184322152267306,0.657845662510254,0.7813789665832745,0.10035464391146194,0.377194480969136,3.0118255858722214,20.324470143066005,L5/6 NP,L5/6 NP; L6b; Pvalb; Sncg; Chandelier
within_layer__clr_false__thickness_absolute,within_layer,False,False,0.6175331250294306,0.6356481980372461,0.7787150478461569,0.07741428256168163,0.36132960542981185,3.015513280435957,20.399558948317917,Pvalb,Pvalb; Chandelier; L5/6 NP; Oligo; L6b
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,False,0.6106740788085133,0.6198756980975348,0.7794450594245242,0.10163767596474464,0.3711608079226203,3.005631451401119,20.1989667357055,L6b,L6b; Oligo; L6 IT; Vip; L6 CT
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,False,0.5961739983838287,0.6356481928042813,0.771623497700236,0.09203289269909859,0.40386444982347464,2.9882565223891437,19.851042455202656,L6b,L6b; L6 CT; L4 IT; L6 IT; Pvalb
within_layer__clr_false__thickness_relative,within_layer,False,True,0.5750465228483796,0.5474938801175285,0.7566791845877954,0.10036078241769784,0.389890717748699,3.000665311879241,20.098904515819594,L5 IT,L5 IT; Oligo; L5/6 NP; L5 ET; Pvalb
within_layer__clr_true__thickness_relative,within_layer,True,True,0.5401110718364229,0.60124524103151,0.7259848186825381,0.09307328254637538,0.378598636998659,3.0380292501569297,20.864084800078636,L5/6 NP,L5/6 NP; Sncg; L6b; Pvalb; L5 ET
within_region_cross_layer__clr_false__thickness_relative,within_region_cross_layer,False,True,0.522529328568186,0.5128749675407263,0.7139589084190109,0.07824369771441046,0.32145074216682634,3.063670025147411,21.4059736403516,Chandelier,Chandelier; L6 CT; L5/6 NP; Pax6; Lamp5_Lhx6
within_region_cross_layer__clr_true__thickness_relative,within_region_cross_layer,True,True,0.5134860932149964,0.5175260892316019,0.7101937673645775,0.07873155588272819,0.3364280510844689,3.069115227170737,21.52285141408677,L5 IT,L5 IT; Pax6; Lamp5_Lhx6; Sst; Pvalb
