layer,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
l1,0.2495988859625223,,0.2946377946377946,,,,,,,,,,0.2495988859625223,,0.6061827061827062,0.5410422910422911,,0.1887060308112939,,0.1116492203448725,,0.3209128533803858,
l2,0.1531068931068931,0.3753461728145272,0.9579274891774892,0.110117155571701,,,,,,,,,0.0616656071201525,0.2782503211074639,0.7330929939625592,0.1531068931068931,,0.0138432995575852,0.5437973790914967,0.0759510759510759,0.3200352279299648,,0.5148706714971776
l3,0.2430268144553859,0.2049262213196639,0.573531120042748,0.999000999000999,0.046888595275692,0.1531068931068931,0.2946377946377946,0.5022416607782462,0.1938061938061938,0.8904884589095116,0.245285964035964,0.1278296171913193,0.1603305785123967,0.2018814518814518,0.7418817741398387,0.4772477522477523,0.6061827061827062,0.7330929939625592,0.1081708988685733,0.2946377946377946,0.5022416607782462,,0.3689771766694844
l4,0.0074540843771613,0.0107670107670107,0.0138432995575852,0.0107670107670107,0.0311474240045668,0.0074540843771613,0.0260892953200645,0.0074540843771613,,,,,0.0074540843771613,0.0074540843771613,0.0074540843771613,0.0074540843771613,0.0074540843771613,0.0074540843771613,0.0107670107670107,0.0074540843771613,0.0138432995575852,,0.0074540843771613
l5,0.2391318359060294,0.1116492203448725,0.5947845258190086,,0.1081708988685733,0.0334148610010679,0.0107670107670107,0.0232567432567432,0.0074540843771613,0.0869643177335485,0.8628499160414054,0.0605644355644355,0.2946377946377946,0.0765024449234975,0.1603305785123967,0.0969030969030969,0.1583992930146776,,0.0759510759510759,,0.0627020038784744,,0.1626587698016269
l6,0.1954486191774327,0.0161505161505161,0.0287120287120287,,,0.0107670107670107,0.5968349831986195,0.274799827038633,0.1603305785123967,0.2766653636218854,0.2766653636218854,0.0355311355311355,0.1081708988685733,0.0074540843771613,0.301045621045621,0.0161505161505161,0.0161505161505161,,0.0719851576994434,,0.1583992930146776,,
